,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
138,[1550_Tradlatfr_Grou] 014 Le Moyne un jour jouant sus la riviere,n° 014,D’un Moyne & d’une Vieille.,Le Moyne un jour jouant sus la riviere,A6r
137,[1550_Tradlatfr_Grou] 015 T’esbahis tu dont point on ne souspire,n° 015,D’un Orgueilleux emprisonné pris du latin.,T’esbahis tu dont point on ne souspire,"A6r, A6v"
136,[1550_Tradlatfr_Grou] 016 Ces jours passez je fu chez la Normande,n° 016,D’Annette & Marguerite.,Ces jours passez je fu chez la normande,A6v
135,[1550_Tradlatfr_Grou] 017 Veux tu vieille ridée entendre,n° 017,A une Vieille pris sur ce vers. Non gaudet veteri sanguine mollis amor.,Veux tu vieille rideɇ entendre,"A6v, A7r"
134,[1550_Tradlatfr_Grou] 018 Celuy qui dit bon ton tetin,n° 018,Du tetin de Cataut.,Celuy qui dit bon ton tetin,A7r
133,[1550_Tradlatfr_Grou] 019 Messire Jan confesseur de fillettes,n° 019,De messire Jan confessant Janne la Simple.,Messire Jan confesseur de fillettes,"A7r, A7v"
132,[1550_Tradlatfr_Grou] 020 Un Cordelier d’une assez bonne mise,n° 020,D’un Cordelier.,Un Cordelier d’unɇ assez bonne mise,A7v
131,[1550_Tradlatfr_Grou] 021 L’autre jour un amant disoit,n° 021,D’un Amoureux & de s’Amye.,L’autre jour un amant disoit,"A7v, A8r"
130,"[1550_Tradlatfr_Grou] 022 Ma dame, je vous remercie",n° 022,"A une Dame de Piemont, qui refusa six escuz de Marot pour coucher avec elle & en vouloit avoir dix.","Ma dame, je vous remercie",A8r
129,[1550_Tradlatfr_Grou] 023 Patroclus fut d’Achille regretté,n° 023,"Epitaphe de feu messire Artus Gouffier Grand Maistre de France, pris du græc de Lascaris.",Patroclus fut d’Achille regretté,"A8r, A8v"
128,[1550_Tradlatfr_Grou] 024 Souz ceste tumbe cy,n° 024,"Epitaphe de Philipe mere dudit Seigneur Grand Maistre, pris du Graec de Cinerius.",Souz ceste tumbe cy,"A8v, B1r"
127,[1550_Tradlatfr_Grou] 025 Le petit Pierre eut du juge option,n° 025,Du petit Pierre &amp; de son proces en matiere de mariage.,Le petit Pierre eut du juge option,B1r
126,[1550_Tradlatfr_Grou] 026 Nanny desplaist et cause grand soucy,n° 026,De Nanny.,Nanny desplaist &amp; cause grand soucy,"B1r, B1v"
125,[1550_Tradlatfr_Grou] 027 Un ouy mal acompagné,n° 027,D’un Ouy.,Un ouy mal acompagné,B1v
124,[1550_Tradlatfr_Grou] 028 Pour tous souhaits ne desire en ce monde,n° 028,Les souhaitz d’un Chanoine.,Pour tous souhaits ne desirɇ en ce monde,"B1v, B2r"
123,[1550_Tradlatfr_Grou] 029 Un jour d’yver Robin tout esperdu,n° 029,De Robin &amp; Catin.,Un jour d’yver Robin tout esperdu,B2r
122,[1550_Tradlatfr_Grou] 030 L’heur ou malheur de vostre cognoissance,n° 030,A Anne.,L’heur ou malheur de vostre cognoissance,B2r
121,[1550_Tradlatfr_Grou] 031 Une Catin sans fraper à la porte,n° 031,D’une qui alla voir les Beaux Peres.,Une Catin sans fraper à la porte,B2v
120,[1550_Tradlatfr_Grou] 032 Comme un escolier se jouoit,n° 032,D’un Escolier & d’une Fillete.,Comme un escolier se jouoit,B2v
119,[1550_Tradlatfr_Grou] 033 Quand je voy ma maistresse,n° 033,De sa Maistresse.,Quand je voy ma maistresse,"B2v, B3r"
118,[1550_Tradlatfr_Grou] 034 Tous chevaliers de queste avantureuse,n° 034,Pour le Perron de monsieur de Vendosme. I.,Tous chevaliers de queste avantureuse,B3r
117,[1550_Tradlatfr_Grou] 035 Le Chevalier sans peur et sans reproche,n° 035,"Pour le Perron de monsieur d’Anguien, dont la superscription estoit telle. Pour le Perron d’un Chevalier qui ne se nomme point. II.",Le Chevalier sans peur &amp; sans reproche,B3v
116,"[1550_Tradlatfr_Grou] 036 Vous chevaliers errans, qui desirez honneur",n° 036,Pour le Perron de monsieur de Nevers. III.,"Vous chevaliers errans, qui desirez honneur",B3v
115,[1550_Tradlatfr_Grou] 037 C’est pour la souvenance d’une,n° 037,"Pour le Perron de monsieur d’Aumale, qui estoit semé des lettres. L. F.",C’est pour la souvenance d’une,"B3v, B4r"
114,[1550_Tradlatfr_Grou] 038 N’a pas long temps fut fait une dispute,n° 038,Du loquet de la porte de s’Amye.,N’a pas long temps fut fait une dispute,B4v
113,"[1550_Tradlatfr_Grou] 039 Pourtant, s’ainsi bien reparée",n° 039,A une Vieille dorée. L. D.,"Pourtant, s’ainsi bien reparée","B4v, B5r"
112,[1550_Tradlatfr_Grou] 040 Fiat au dos de ma requeste,n° 040,"A une Dame moins pudique que belle, par L. T.",Fiat au dos de ma requeste,B5r
111,[1550_Tradlatfr_Grou] 041 J’ay trop pensé pour bien le sçavoir dire,n° 041,De joyr de s’Amye.,J’ay trop pensé pour bien le sçavoir dire,"B5r, B5v"
110,[1550_Tradlatfr_Grou] 042 Quelqu’un desirant estre Presbtre,n° 042,D’un qui vouloit estre Presbtre. G. C.,Quelqu’un desirant estre Presbtre,B5v
109,[1550_Tradlatfr_Grou] 043 Frere Colin confesseur de nonnettes,n° 043,"De frere Colin, par M. G.",Frere Colin confesseur de nonnettes,"B5v, B6r"
108,[1550_Tradlatfr_Grou] 044 Un jour Amour par grand aveuglement,n° 044,"Imitation d’un Embleme d’Alciat, par L. T.",Un jour Amour par grand aveuglement,B6r
107,[1550_Tradlatfr_Grou] 045 Quand je ne le te veux point faire,n° 045,"A une Laideron, pris du latin. Esse Gellia me putas Spadonem, par S. R.",Quand je ne le te veux point faire,"B6r, B6v"
106,[1550_Tradlatfr_Grou] 046 Alix qui son ventre portoit,n° 046,"D’une grosse Garce qui feignoit estre grosse d’enfant, pris du latin. Venter cum tumuisset Angurella, par S. R.",Alix qui son ventre portoit,"B6v, B7r"
105,[1550_Tradlatfr_Grou] 047 Trois femmes un jour disputoient,n° 047,"Du devis des Dames, par L. H.",Trois femmes un jour disputoient,B7r
104,[1550_Tradlatfr_Grou] 048 N’a pas long temps que je veiz Jaqueline,n° 048,"De D. Jaqueline, par C. C. C.",N’a pas long temps que je veiz Jaqueline,B7r
103,[1550_Tradlatfr_Grou] 049 Avec ma Dame un jour j’estois couché,n° 049,"Du malheur de nature, par M. G.",Avec ma Dame un jour j’estois couché,B7v
102,[1550_Tradlatfr_Grou] 050 Zaleucus fit à son païs la loy,n° 050,De la justice & pieté de Zaleucus pris du latin par I. B.,Zaleucus fit à son païs la loy,"B7v, B8r"
101,"[1550_Tradlatfr_Grou] 051 S’on ne mouroit qu’en guerre, ou par exces",n° 051,D’un Vieillard.,"S’on ne mouroit qu’en guerrɇ, ou par exces",B8r
100,[1550_Tradlatfr_Grou] 052 Une vieille un jour confessoit,n° 052,"De frere Jan & de la Vieille, par M. G.",Une vieillɇ un jour confessoit,"B8r, B8v"
99,[1550_Tradlatfr_Grou] 053 Frere Lubin revenant de la queste,n° 053,De frere. Lubin. L. I.,Frere Lubin revenant de la queste,B8v
98,[1550_Tradlatfr_Grou] 054 S’il est ainsi que peu la beauté dure,n° 054,A une Dame pris de ce distique d’Ursinus Velius. Si perit impartire prius quam forma senescat. par S. R.,S’il est ainsi que peu la beauté dure,"B8v, C1r"
97,[1550_Tradlatfr_Grou] 055 Quand on me dist que la petite blonde,n° 055,D’Anne.,Quand on me dist que la petite blonde,C1r
96,[1550_Tradlatfr_Grou] 056 Anne a pourtrait un champ d’arbres floriz,n° 056,D’Anne encores.,Annɇ a pourtrait un champ d’arbres floriz,"C1r, C1v"
95,[1550_Tradlatfr_Grou] 057 Hazardeux pensent à leurs diz,n° 057,Du songe d’une Femme pris du latin.,Hazardeux pensent à leurs diz,C1v
94,[1550_Tradlatfr_Grou] 058 Un jour Colin sa Collette aculla,n° 058,"De Colin, par G. C.",Un jour Colin sa Collettɇ aculla,C1v
93,[1550_Tradlatfr_Grou] 059 C’est grand cas de ce maistre moyne,n° 059,Du Moyne de Pantagruel. L.,C’est grand cas de ce maistre moyne,"C1v, C2r"
92,[1550_Tradlatfr_Grou] 060 Une Chrestienne interrogeoit la femme,n° 060,Responce d’une Juïve à une Chrestienne touchant la Circoncision.,Une Chrestienne interrogeoit la femme,C2r
91,[1550_Tradlatfr_Grou] 061 Monsieur s’en vint en masque desguisé,n° 061,"D’un Advocat & de sa femme, par P. C.",Monsieur s’en vint en masque desguisé,"C2r, C2v"
90,"[1550_Tradlatfr_Grou] 062 Un bon mary, des meilleurs que l’on face",n° 062,"Autrement, par S. R.","Un bon mary, des meilleurs que l’on face",C2v
89,"[1550_Tradlatfr_Grou] 063 Assouvy suis, et ne me peult sufire",n° 063,D’un qui ayme.,"Assouvy suis, &amp; ne me peult sufire",C2v
88,[1550_Tradlatfr_Grou] 064 Je hay et ayme&nbsp;: en fuyant je poursuys,n° 064,"Du mesme, par l’Autheur susdit.",Je hay &amp; ayme&nbsp;: en fuyant je poursuys,C3r
87,[1550_Tradlatfr_Grou] 065 La volupté et douleur surmonter,n° 065,"De volupté & ignorance, par L. M. N.",La volupté &amp; douleur surmonter,C3r
86,"[1550_Tradlatfr_Grou] 066 Vivons m’amye, et nous aymons",n° 066,"A une Amye pris du latin de Catulle. Vivamus, mea Lesbia, atque amenius, &amp; par S. R.","Vivons m’amyɇ, &amp; nous aymons","C3r, C3v"
85,[1550_Tradlatfr_Grou] 067 Je veux que m’amye soit telle,n° 067,"Quelle doit estre une Amye, pris du latin d’Ausone. Sit michi talis amica velim / Iurgia que temere incipiat &amp;c. S. R.",Je veux que m’amye soit telle,"C3v, C4r"
84,[1550_Tradlatfr_Grou] 068 Je ne veux point pour mon plaisir,n° 068,"De ce mesme, par L. I.",Jene veux point pour mon plaisir,C4r
83,[1550_Tradlatfr_Grou] 069 Un amoureux une nuit impetra,n° 069,D’un Amoureux de la vieille impression.,Un amoureux une nuit impetra,"C4r, C4v"
82,[1550_Tradlatfr_Grou] 070 Une nonnain fut engrossée,n° 070,"D’une Nonnain enseinte, pris du Latin de Macrinus. Vestali incesto cum plena tumesceret alvus. Objurgarat eam, &c.",Une nonnain fut engrossée,C4v
81,[1550_Tradlatfr_Grou] 071 L’Oyseau qui a sur tous le vol hautain,n° 071,"D’une Damoyselle apellée l’Oyseau, par B. C.",L’Oyseau qui a sur tous le vol hautain,"C4v, C5r"
80,"[1550_Tradlatfr_Grou] 072 Sur tous desirs je ne quiers rien, que d’estre",n° 072,D’elle mesme encor’ par le susdit.,"Sur tous desirs je ne quiers rien, que d’estre",C5r
79,"[1550_Tradlatfr_Grou] 073 Quand on est sain, et qu’il fait chaut",n° 073,De Guillaume par M. G.,"Quand on est sain, &amp; qu’il fait chaut","C5r, C5v"
78,[1550_Tradlatfr_Grou] 074 Par la douceur qu’on void de toutes parts,n° 074,"D’une Damoyselle, nommée Marce de Grand-mont, par D. B.",Par la douceur qu’on void de toutes parts,C5v
77,[1550_Tradlatfr_Grou] 075 D’un taint vermeil plus n’est ta face painte,n° 075,"A une qui avoit les palles couleurs, par D. B.",D’un taint vermeil plus n’est ta face painte,"C5v, C6r"
76,[1550_Tradlatfr_Grou] 076 Ainsi qu’Archers d’une assemblée grande,n° 076,S. S. Soymesme.,Ainsi qu’Archers d’unɇ assemblée grande,C6r
75,[1550_Tradlatfr_Grou] 077 Claudine me maudit tousjours,n° 077,"De Claudine, pris du latin de Catulle. Lesbia mi dicit semper male, nec tacet unquam. De me &c. par S. R.",Claudine me maudit tousjours,"C6r, C6v"
74,[1550_Tradlatfr_Grou] 078 Nostre Thraso demy quart de noblet,n° 078,D’un Glorieux faisant du Gentil Homme par L. D.,Nostre Thraso demy quart de noblet,C6v
73,"[1550_Tradlatfr_Grou] 079 Si celle la, qui ne fut oncques mienne",n° 079,D’une Damoyselle.,"Si celle la, quine fut oncques mienne","C6v, C7r"
72,[1550_Tradlatfr_Grou] 080 Si Dieu vouloit pour un jour seulement,n° 080,"Souhait d’un Amy vers s’Amye, par H. autrement dit L. M. N.",Si Dieu vouloit pour un jour seulement,C7r
71,[1550_Tradlatfr_Grou] 081 Son pouvoir est de me faire oublier,n° 081,Stanse apres qu’il eust fait ce souhait.,Son pouvoir est de me fairɇ oublier,"C7r, C7v"
70,[1550_Tradlatfr_Grou] 082 Celuy qui vieille amye avoit,n° 082,"D’un qui aymoit une Vieille, par D. B.",Celuy qui vieill amyɇ avoit,C7v
69,[1550_Tradlatfr_Grou] 083 L’espousée a la nuit premiere,n° 083,"D’une Jeune Espousée, par D. B.",L’espouséɇ a la nuit premiere,"C7v, C8r"
68,[1550_Tradlatfr_Grou] 084 Un gros Prieur faisant son testament,n° 084,"D’un Gros Moyne, par D. B.",Un gros Prieur faisant son testament,C8r
67,[1550_Tradlatfr_Grou] 085 Un Curé plein de malice et faintise,n° 085,"D’un Curé ignare, par D. B.",Un Curé plein de malicɇ &amp; faintise,"C8r, C8v"
66,[1550_Tradlatfr_Grou] 086 Un Advocat voulant aller dehors,n° 086,D’un Advocat d’Orleans &amp; de son Clerc.,Un Advocat voulant aller dehors,C8v
65,[1550_Tradlatfr_Grou] 087 Un maistre es arts fort se rejouïssoit,n° 087,D’un Maistre es arts & de Jaqueton.,Un maistrɇ es arts fort se rejouïssoit,"C8v, D1r"
64,"[1550_Tradlatfr_Grou] 088 Pour un seul coup, sans y faire retour",n° 088,"Du jeu d’Amours, par M.","Pour un seul coup, sans y faire retour",D1r
63,[1550_Tradlatfr_Grou] 089 Cy est le corps en sepulture mis,n° 089,"Epitaphe de la Grand Noire de Tours, par L. D.",Cy est le corps en sepulture mis,"D1r, D1v"
62,[1550_Tradlatfr_Grou] 090 Alix me jure fermement,n° 090,"Le mesme adressé à Alix, par L. M.",Alix me jure fermement,D1v
61,[1550_Tradlatfr_Grou] 091 Dedans Paris bien fort l’on te menace,n° 091,"Dixain de Lyon Jamet, à Marot, quelque temps apres qu’il eut veu le grand epitaphe d’Alix. Cy gist, qui est une grand’ perte En culetis, &amp;c.",Dedans Paris bien fort l’on te menace,"D1v, D2r"
60,"[1550_Tradlatfr_Grou] 092 Cy gist Martin, qui pour saouller Alix",n° 092,"Epitaphe nouveau de Martin, par C. M.","Cy gist Martin, qui pour saouller Alix",D2r
59,"[1550_Tradlatfr_Grou] 093 Cy gist, qui a tousjours tenu",n° 093,"Epitaphe du Seigneur Baron de Carmion, par S. R.","Cy gist, qui a tousjours tenu",D2v
58,"[1550_Tradlatfr_Grou] 094 M’amye et moy, apres joyeux esbatz",n° 094,"Du Seigneur Stroze filz, & de s’Amye Coelia, pris du latin. Tam cito dissidium post gaudia Coelianobis / Tam cito post ipsum gaudia dissidium &c.","M’amyɇ et moy, apres joyeux esbatz","D2v, D3r"
57,[1550_Tradlatfr_Grou] 095 Un jour avint qu’un gallant engrossa,n° 095,"D’une Jeune Fille enceinte, pris du Latin de G. V. C., par S. R.",Un jour avint qu’un gallant engrossa,D3r
56,[1550_Tradlatfr_Grou] 096 La jeune fille Ysabeau me demande,n° 096,"Epigramme de Joa. Myn. Dentatus. Dum querit barbam, &c. mis en françois, par L. H. S.",La jeune fillɇ Ysabeau me demande,"D3r, D3v"
55,[1550_Tradlatfr_Grou] 097 C’est grand cas que je ne sçaurois,n° 097,"Epigramme du I. livre de Martial. non amo te, &c. mis en françois, par S. R.",C’est grand cas que je ne sçaurois,"D3v, D4r"
54,"[1550_Tradlatfr_Grou] 098 Collette a, je le vous confesse",n° 098,"Du 5 de Martial. Thais habet nigros, &amp;c. par S. R.","Collettɇ a, je le vous confesse",D4r
53,[1550_Tradlatfr_Grou] 099 Puis que vous vous semblez tous deux,n° 099,"Du 8. de Martial. Cum sitis similes, &amp;c. par S. R.",Puis que vous vous semblez tous deux,D4r
52,[1550_Tradlatfr_Grou] 100 Cuydez-vous que ce mignon là,n° 100,Du 9. dudit Martial. Hunc quem cœna tibi &amp;c. traduit par S. R.,Cuydez-vous que ce mignon là,D4v
51,[1550_Tradlatfr_Grou] 101 Amy qui me prometz du tien,n° 101,"Du II de Martial. Nil prestas vivus, dicis post fata, &amp;c. traduit par S. R.",Amy qui me prometz du tien,D4v
50,[1550_Tradlatfr_Grou] 102 Tu me prometz beaucoup de bien,n° 102,"Du 12. dudit Martial. Omnia promittis, cum nocte tota bi. &c. par S. R.",Tu me prometz beaucoup de bien,D5r
49,[1550_Tradlatfr_Grou] 103 Tant plus sur toy sont arrestez mes yeux,n° 103,A une Dame.,Tant plus sur toy sont arrestez mes yeux,D5r
48,[1550_Tradlatfr_Grou] 104 Quand Françoys eut d’un grand esprit apris,n° 104,"Epitaphe du feu Roy Francoys I. de ce nom pris du Latin. Cum terram hic noscet, &amp;c.",Quand Françoys eut d’un grand esprit apris,D5v
47,[1550_Tradlatfr_Grou] 105 Je fuz jadis engendré de deux Roys,n° 105,Epitaphe de deu monsieur le Dauphin pris de vers Latins.,Je fuz jadis engendré de deux Roys,"D5v, D6r"
46,[1550_Tradlatfr_Grou] 106 Ne t’enquiers plus passant qui est le corps,n° 106,"Epitaphe de feu monsieur d’Anguien pris du Latin. Circum septum magnis, usque sane debetis.",Ne t’enquiers plus passant qui est le corps,"D6r, D6v"
45,"[1550_Tradlatfr_Grou] 107 Cy gist un corps, qui a eu le pouvoir",n° 107,"Epitaphe de feu monsieur de Langey pris du Latin. Hic jacet & lasso requiescit, &c. mis en françois par M. G.","Cy gist un corps, qui a eu le pouvoir","D6v, D7r"
44,"[1550_Tradlatfr_Grou] 108 Passans va, je repose",n° 108,"Autre pris du latin. Vade quiesco &amp;c., par le mesme M. G.","Passans va, je repose",D7r
43,[1550_Tradlatfr_Grou] 109 Par volunté testamentaire,n° 109,"Epitaphe de feu monsieur Budé, pris du Latin. Budæus voluit media denocte, &c., par L. H. S.",Par volunté testamentaire,"D7r, D7v"
42,[1550_Tradlatfr_Grou] 110 Le grand Erasme icy repose,n° 110,"Epitaphe d’Erasme, pris du Latin. Magnus Erasmus in hoc tumulo est, &c. par C. M.",Le grand Erasmɇ icy repose,D7v
41,"[1550_Tradlatfr_Grou] 111 Te veux-tu enquerir, viateur, qui je suis ?",n° 111,"Epitaphe de messire Jan Olivier Evesque d’Angiers, pris du Latin. Inquiris, hospes qui siem, &c. Traduit, ainsi qu’on dit, par C. M. Vers Alexandrins.","Te veux-tu enquerir, viateur, qui je suis","D7v, D8r, D8v"
40,"[1550_Tradlatfr_Grou] 112 Ne t’enquiers plus, ô passant, qui je suis",n° 112,"Autrement, par P. B. Xaintongeois.","Ne t’enquiers plus, ô passant, qui je suis","D8v, E1r"
39,[1550_Tradlatfr_Grou] 113 Ma naissance fut de Cahors,n° 113,"Epitaphe de feu Clement Marot, dit le Maro de France, par M. G.",Ma naissance fut de Cahors,E1r
38,[1550_Tradlatfr_Grou] 114 Pourquoy le corps du Poëte de France,n° 114,Autre par monsieur du Val Evesque de Séez.,Pourquoy le corps du Poëte de France,"E1r, E1v"
37,[1550_Tradlatfr_Grou] 115 Ce Marot mort vit plus qu’il ne vivoit,n° 115,"Autre, par Saint Romard.",Ce Marot mort vit plus qu’il ne vivoit,E1v
36,[1550_Tradlatfr_Grou] 116 Flora voyant malade son mary,n° 116,"Epitaphe de Flora, pris du latin. Languentem conjux morbo graviore maritum. Dum plorat, &amp;c. par I. B.",Flora voyant malade son mary,"E1v, E2r"
35,[1550_Tradlatfr_Grou] 117 Qu’est ce qui gist dedans ce cercueil là,n° 117,"Epitaphe de Sardanapalus, pris de ce Dialogue latin. Dic quis in hac urna est ? &c. par S. R.",Qu’est ce qui gist dedans ce cercueil là,"E2r, E2v"
34,[1550_Tradlatfr_Grou] 118 Quelque mignon en prenant congé d’une,n° 118,"De la Responce de Margot Noiron à un Gentilhomme qui avoit couché avec elle, par A. V.",Quelque mignon en prenant congé d’une,E2v
33,"[1550_Tradlatfr_Grou] 119 Oyez les cieux, l’air et la terre large",n° 119,"Complainte sur le trespas de feu Monseigneur d’Orleans, faite par l’un des Gentilzhommes de sa chambre.","Oyez les cieux, l’air &amp; la terre large","E3r, E3v, E4r, E4v, E5r, E5v, E6r"
32,"[1550_Tradlatfr_Grou] 120 Quiconques sois, amy passant, qui veux",n° 120,"Complainte de feu messire Philipes Chabot, Chevalier de l’ordre du Roy nostre Sire, & Amiral de France. Traduite du latin de l’Evesque de Noyon, par S. R.","Quiconques sois, amy passant, qui veux","E6r, E6v, E7r, E7v"
31,[1550_Tradlatfr_Grou] 121 Je ne veux point pour mes fautes excuser,n° 121,"La quatriesme Elegie du 2. liüre des amours d’Ovide, commençant en Latin. Non ego mendosos ausim defendere amores / Falsaque pro vitiis &c., traduite par S. R.",Je ne veux point pour mes fautes excuser,"E7v, E8r, E8v, F1r, F1v"
30,[1550_Tradlatfr_Grou] 122 O dur mary en ayant imposée,n° 122,"La 4 Elegie du 3 livre des amours du mesme Ovide, commençant en latin. Dure vir imposito teneæ &c. mise en françoys par N.",O dur mary en ayant imposée,"F1v, F2r, F2v, F3r, F3v"
29,[1550_Tradlatfr_Grou] 123 De juste gain et loyale promesse,n° 123,"Imitation du sixiesme Baiser de Jan Second, dont le commencement Latin est. De meliore nota &c.",De juste gain &amp; loyale promesse,"F4r, F4v, F5r, F5v, F6r"
28,[1550_Tradlatfr_Grou] 124 Cent mille foys et en cent mille sortes,n° 124,"Le Septiesme Baiser dudit Second, & commence en latin. Centum basia centies. &amp;c., mis en nostre langue, par le mesme.",Cent mille foys &amp; en cent mille sortes,F6r
27,[1550_Tradlatfr_Grou] 125 Quelle malle rage t’a prise ?,n° 125,"Le huitiesme Baiser commençant en latin. Quis te furior. &amp;c fait françois, par S. R.",Quelle malle rage t’a prise,"F6r, F6v, F7r"
26,[1550_Tradlatfr_Grou] 126 Ne m’usez plus de baisers savoureux,n° 126,"Le neufiesme Baiser dudit Joannes Secundus lequel se commence en latin. Non semper. &c., traduit en nostre langue, par ledit S. R.",Ne m’usez plus de baisers savoureux,"F7v, F8r"
25,"[1550_Tradlatfr_Grou] 127 Helas amy, le temps s’en fuye et passe",n° 127,"Ode du 2 Horace, dont le commencement latin est. Eheu fugaces, posthume, posthume &c., traduite par S. R.","Helas amy, le temps s’en fuye &amp; passe","F8r, F8v, G1r"
24,[1550_Tradlatfr_Grou] 128 Estant en mer un navire agité,n° 128,"Elegie de C. L. M. Lyonnois, prise du Latin de Thomas Morus, qui se commence. Cum tumida horrissonis &c.",Estant en mer un navirɇ agité,"G1r, G1v"
23,[1550_Tradlatfr_Grou] 129 Or suis-je doncq’ demeuré le vaincueur,n° 129,"Rencontre de deux Amants prise des vers Latins de I. G. commençans. Cura, labor, lachrimæ &amp;c., par S. R.",Or suis-je doncq’ demeuré vaincueur,"G1v, G2r, G2v, G3r, G3v, G4r, G4v, G5r, G5v, G6r, G6v"
22,[1550_Tradlatfr_Grou] 130 Menelaus n’eut oncq’ autant de joye,n° 130,"Quelque Amy se resjouit ayant jouy De sa Dame, a l’imitation de Proper. li. 2. Ele. 14. Non ita Dardonio. &amp;c., par L. H. S.",Menelaus n’eut oncq’ autant de joye,"G6v, G7r, G7v, G8r"
21,[1550_Tradlatfr_Grou] 131 Quand à Eunide un baiser gracieux,n° 131,"Le 24. Edilion de Theocrite auteur græc fait latin par Heob. Essus, &amp; depuys mis en françoys, par Lazare de Baif le jeune.",Quand à Eunidɇ un baiser gracieux,"G8v, H1r, H1v, H2r"
20,[1550_Tradlatfr_Grou] 132 Quoy que Langey soit cendre desormais,n° 132,"De la langue de feu monsieur de Langey, pris de Homedeus, par M. G.",Quoy que Langey soit cendre desormais,"H2r, H2v"
19,[1550_Tradlatfr_Grou] 133 Pleurez joyeuses amourettes,n° 133,"De la mort du passereau d’une Damoyselle, à l’imitation de celuy de Catulle de sa Lesbia, dont le latin est. Lugete ó Veneres, Cupidinesque &c., par S. R.",Pleurez joyeuses amourettes,"H2v, H3r, H3v"
18,[1550_Tradlatfr_Grou] 134 Un Cordelier tomba entre les mains,n° 134,"D’un Cordelier & d’aucuns Soldatz, par D. B.",Un Cordelier tomba entre les mains,"H3v, H4r"
17,[1550_Tradlatfr_Grou] 135 Je ne veux point de trop volage amye,n° 135,Les conditions de l’Amye moderne.,Je ne veux point de trop volagɇ amye,"H4r, H4v, H5r"
16,[1550_Tradlatfr_Grou] 136 Daphnis à la chasse s’en va,n° 136,Chanson sous le nom de Daphnis de G. &amp; de L.,Daphnis à la chasse s’en va,"H5r, H5v"
15,[1550_Tradlatfr_Grou] 137 Je vy n’aguere un des plus beaux combatz,n° 137,Ballade. ou non de C. M. Contre Sagon.,Je vy n’aguerɇ un des plus beaux combatz,"H5v, H6r"
14,[1550_Tradlatfr_Grou] 138 De voir ma fin j’ay cent foys eu envie,n° 138,De la cruauté de s’Amye.,De voir ma fin j’ay cent foys eu envie,"H6r, H6v"
