,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
70,"[1554_TJI_Grou] 078 Si celle là, qui ne fut oncques mienne",n° 078,"D’une Damoyselle, par G. C.","Si celle là, qui ne fut oncques mienne",C6v
69,[1554_TJI_Grou] 079 Si Dieu vouloit pour un jour seulement,n° 079,"Souhaitz d’un Amy vers s’Amye, par H, autrement dit L. M. N.",Si Dieu vouloit pour un jour seulement,"C6v, C7r"
68,[1554_TJI_Grou] 080 Son pouvoir est de me faire oublier,n° 080,Stanse après qu’il eut fait le souhait.,Son pouvoir est de me fairɇ oublier,C7r
67,[1554_TJI_Grou] 081 Celuy qui vieille Amye avoit,n° 081,"D’un qui aymoit une Vieille, par D. B.",Celuy qui vieillɇ amyɇ avoit,"C7r, C7v"
66,[1554_TJI_Grou] 082 L’Espousée à la nuit premiere,n° 082,"D’une Jeune Espousée, par D. B.",L’Espousée à la nuit premiere,C7v
65,[1554_TJI_Grou] 083 Un gros Prieur faisant son testament,n° 083,"D’un gros Moyne, par D. B.",Un gros Prieur faisant son testament,C8r
64,[1554_TJI_Grou] 084 Un Curé plein de malice et faintise,n° 084,"D’un Curé ignare, par D. B.",Un Curé plein de malice &amp; faintise,C8r
63,[1554_TJI_Grou] 085 Un Avocat voulant aller dehors,n° 085,D’un Avocat d’Orleans & de son Clerc.,Un Avocat voulant aller dehors,"C8r, C8v"
62,[1554_TJI_Grou] 086 Un maistre es ars fort se resiouyssoit,n° 086,D’un Maistre es ars & de Jaqueton.,Un maistrɇ es ars fort se resiouyssoit,"C8v, D1r"
61,"[1554_TJI_Grou] 087 Pour un seul coup, sans y faire retour",n° 087,"Du jeu d’Amours, par M. C.","Pour un seul coup, sans y faire retour","D1r, D1v"
60,[1554_TJI_Grou] 088 D’une grand’brune assez belle Commere,n° 088,"Epitaphe de la Grand Noire de Tours, par L. D.",D’une grand’brunɇ assez belle commere,"D1r, D1v"
59,[1554_TJI_Grou] 089 Alix me jure fermement,n° 089,"Le mesme adressé à Alix, par L. M.",Alix me jure fermement,D1v
58,[1554_TJI_Grou] 090 Dedans Paris bien fort l’on te menace,n° 090,"Dixain de Lion Iamet, à Marot quelque temps après qu’il eut veu le grand epitaphe d’Alix qui commence. Cy gist, qui est une grand’ perte en culetis &c.",Dedans Paris bien fort l’on te menace,"D1v, D2r"
57,"[1554_TJI_Grou] 091 Cy gist Martin, qui pour saouller Alix",n° 091,"Epitaphe nouveau de Martin, par C. M.","Cy gist Martin, qui pour saouller Alix",D2r
56,"[1554_TJI_Grou] 092 Cy gist, qui a tousjours tenu",n° 092,"Epitaphe du Seigneur Baron de Carmion, par S. R.","Cy gist, qui a tousjours tenu","D2r, D2v"
55,[1554_TJI_Grou] 093 M’Amye et moy apres joyeux esbatz,n° 093,"Du seigneur Stroze filz, & de s’Amye Cœlia, pris du latin.",M’amyɇ &amp; moy apres joyeux esbatz,D2v
54,[1554_TJI_Grou] 094 Un jour avint qu’un Galland engrossa,n° 094,"D’une Jeune Fille enceinte, pris du Latin de G. V. C., par S. R.",Un jour avint qu’un galland engrossa,"D2v, D3r"
53,[1554_TJI_Grou] 095 La Jeune Fille Ysabeau me demande,n° 095,"Epigramme de Joa &c. mis en françoys, par L. H. S.",La jeune fillɇ Ysabeau me demande,"D3r, D3v"
52,[1554_TJI_Grou] 096 C’est grand cas que je ne sçaurois,n° 096,"Epigramme de Catin, par S. R.",C’est grand cas que je ne sçaurois,D3v
51,"[1554_TJI_Grou] 097 Collette a, je le vous confesse",n° 097,"De Collette, par S. R.","Collettɇ a, je le vous confesse","D3v, D4r"
50,[1554_TJI_Grou] 098 Puis que vous vous semblez tous deux,n° 098,"D’un Mary & de sa Femme, par S. R.",Puis que vous vous semblez tous deux,D4r
49,[1554_TJI_Grou] 099 Amy qui me prometz du tien,n° 099,D’un Prometeur.,Amy qui me prometz du tien,"D4r, D4v"
48,[1554_TJI_Grou] 100 Tu me prometz beaucoup de bien,n° 100,"Autrement, par S. R.",Tu me prometz beaucoup de bien,D4v
47,[1554_TJI_Grou] 101 Tant plus sur toy sont arrestez mes yeux,n° 101,"À une Dame, par G. C.",Tant plus sur toy sont arrestez mes yeux,"D4v, D5r"
46,[1554_TJI_Grou] 102 Quand Françoys eut d’un grand esprit apris,n° 102,EPITAPHE DU FEU ROY FRANÇOYS I. DE CE NOM.,Quand Françoys eut d’un grand esprit apris,"D5r, D5v"
45,[1554_TJI_Grou] 103 Je fuz jadis engendré de deux Roys,n° 103,"Epitaphe de feu monsieur le Dauphin, pris de vers latins.",Je fuz jadis engendré de deux Roys,D5v
44,[1554_TJI_Grou] 104 Ne t’enquiers plus passant qui est le corps,n° 104,"Epitaphe de feu monsieur d’Anguyen, pris du latin.",Ne t’enquiers plus passant qui est le corps,"D5v, D6r, D6v"
43,"[1554_TJI_Grou] 105 Cy gist un corps, qui a eu le pouvoir",n° 105,Epitaphe de feu monsieur de Langey pris du latin.,"Cy gist un corps, qui a eu le pouvoir",D6v
42,"[1554_TJI_Grou] 106 Passant va, je repose",n° 106,Autre pris du latin.,"Passant va, je repose",D6v
41,[1554_TJI_Grou] 107 Par volonté testamentaire,n° 107,"Epitaphe de feu monsieur Budé, par G. M.",Par volonté testamentaire,"D6v, D7r"
40,[1554_TJI_Grou] 108 Le grand Erasme icy repose,n° 108,"Epitaphe d’Erasme, par C. M.",Le grand Erasmɇ icy repose,D7r
39,"[1554_TJI_Grou] 109 Te veux tu enquerir, Viateur, qui je suis",n° 109,"Epitaphe de messire Jan Olivier Evesque d’Angiers, pris du latin. Traduit, ainsi qu’on dit, par B. M. Vers Alexandrins.","Te veux tu enquerir, viateur, qui je suis","D7r, D7v"
38,"[1554_TJI_Grou] 110 Ne t’enquiers plus, ó Passant, qui je suis",n° 110,"Autrement, par P. B. Xaintongeois.","Ne t’enquiers plus, ó passant, qui je suis","D7v, D8r, D8v"
37,[1554_TJI_Grou] 111 Ma naissance fut de Cahors,n° 111,"Epitaphe de feu Clement Marot, dit le Marot de France.",Ma naissance fut de Cahors,D8v
36,[1554_TJI_Grou] 112 Pourquoy le corps du Poëte de France,n° 112,Autre par monsieur du Val Evesque de Séez.,Pourquoy le corps du Poëte de France,"D8v, E1r"
35,[1554_TJI_Grou] 113 Ce Marot mort vit plus qu’il ne vivoit,n° 113,"Autre, par Saint Romard.",Ce Marot mort vit plus qu’il ne vivoit,E1r
34,[1554_TJI_Grou] 114 Flora voyant malade son Mary,n° 114,"Epitaphe de Flora pris du latin, par I. B.",Flora voyant malade son mary,"E1r, E1v"
33,[1554_TJI_Grou] 115 Qu’est ce qui gist dedans ce cercueil là,n° 115,"Epitaphe de Sardanapalus, par S. R.",Qu’est ce qui gist dedans ce cercueil la,E1v
32,[1554_TJI_Grou] 116 Quelque Mignon en prenant congé d’une,n° 116,"De la Responce de Margot Noiron à un Gentilhomme qui avoit couché avec elle, par A. V.",Quelque mignon eu [[en]] prenant congé d’une,"E1v, E2r"
31,"[1554_TJI_Grou] 117 Oyez les cieux, l’air et la terre large",n° 117,"Complainte sur le trespas de feu Monseigneur d’Orléans, faitte par l’un des Gentilzhommes de sa chambre.","Oyez les cieux, l’air &amp; la terre large","E2r, E2v, E3r, E3v, E4r, E4v, E5r"
30,"[1554_TJI_Grou] 118 Quiconques sois, Amy’ passant, qui veux",n° 118,"Complainte de feu messire Philippes Chabot, Chevalier de l’ordre du Roy nostre Sire & Amiral de France. Traduite du latin de l’Evesque de Noyon, par S. R.","Quiconques sois, amy’ passant, qui veux","E5r, E5v, E6r, E6v"
29,[1554_TJI_Grou] 119 Je ne veux point mes fautes excuser,n° 119,"La quatriesme Elegie du 2. livre des Amours d’Ovide, traduit par S. R.",Je ne veux point mes fautes excuser,"E6v, E7r, E7v, E8r, E8v"
28,[1554_TJI_Grou] 120 O dur Mary en ayant imposée,n° 120,"La 4. Elegie du 3. livre des amours du mesme Ovide, mise en Françoys, par G. C.",O dur mary en ayant imposée,"E8v, F1r, F1v, F2r, F2v"
27,[1554_TJI_Grou] 121 De juste gain et loyale promesse,n° 121,"Imitation du sixiesme Baiser de Jan Second traduit &amp;c., par G. C.",De juste gain &amp; loyale promesse,"F2v, F3r, F3v, F4r, F4v, F5r"
26,"[1554_TJI_Grou] 122 Cent mile foys, et en cent mile sortes",n° 122,"Le septiesme Baiser dudit Second, &amp; par le mesme G. C.","Cent mile foys, &amp; en cent mile sortes","F5r, F5v"
25,[1554_TJI_Grou] 123 Quelle male rage t’a prise,n° 123,"Le huitiesme Baiser, fait par S. R.",Quelle male rage t’a prise&nbsp;?,"F5v, F6r, F6v"
24,[1554_TJI_Grou] 124 Ne m’usez plus de baisers savoureux,n° 124,"Le neuviesme Baiser dudit Joannes Secondus, par ledit S. R.",Ne m’usez plus de baisers savoureux,"F6v, F7r, F7v"
23,"[1554_TJI_Grou] 125 Helas Amy, le temps s’enfuyt et passe",n° 125,"Ode du 2. d’Horace, traduite par S. R.","Helas amy, le temps s’enfuyt & passe","F7v, F8r"
22,[1554_TJI_Grou] 126 Estant en mer un navire agité,n° 126,"Elegie de C. L. Lyonnois, prise du Latin de Thomas Morus.",Estant en mer un navirɇ agité,"F8r, F8v"
21,[1554_TJI_Grou] 127 Or suis-je doncq’ demeuré le vaincueur,n° 127,"Rencontre de deux Amants, par S. R.",Or suis-je doncq’ demeuré le vaincueur,"F8v, G1r, G1v, G2r, G2v, G3r, G3v, G4r, G4v, G5r, G5v"
20,[1554_TJI_Grou] 128 Menelaüs n’eut oncq’ autant de joye,n° 128,"Quelque Amy se resjouit, ayant jouy de sa Dame, à l’imitation de Proper, par L. H. S.",Menelaüs n’eut oncq’ autant de joye,"G5v, G6r, G6v, G7r, G7v"
19,[1554_TJI_Grou] 129 Quand à Eunice un baiser gracieux,n° 129,"Le 24. Edition de Theocrite auteur grec fait latin par Heob. Essus, & depuis mis en françoys, par Lazare de Baif le jeune.",Quand à Eunicɇ un baiser gracieux,"G7v, G8r, G8v, H1r"
18,[1554_TJI_Grou] 130 Quoy que Langey soit cendre desormais,n° 130,"De la langue de feu monsieur de Langey, pris de Homedeus, par M. G.",Quoy que Langey soit cendre desormais,"H1r, H1v"
17,[1554_TJI_Grou] 131 Un Cordelier tomba entre les mains,n° 131,"D’un Cordelier &amp; d’aucuns Soldatz, par D. B.",Un cordelier tomba entre les mains,"H1v, H2r, H2v"
16,[1554_TJI_Grou] 132 Je ne veux point de trop volage Amye,n° 132,Des conditions de l’Amye moderne.,Je ne veux point de trop volagɇ amye,"H2v, H3r"
15,[1554_TJI_Grou] 133 Daphnis à la chasse s’en va,n° 133,Chanson sous le nom de Daphnis. de G. & de L.,Daphnis à la chasse s’en va,"H3r, H3v, H4r"
14,[1554_TJI_Grou] 134 Je vy n’aguere un des plus beaux combatz,n° 134,Balade ou non [au nom] de C. Marot contre Sagon.,Je vy n’aguerɇ un des plus beaux combatz,"H4r, H4v"
13,[1554_TJI_Grou] 135 De voir ma fin j’ay cent foys eu envie,n° 135,De la cruauté de s’Amye.,De voir ma fin j’ay cent foys eu envie,"H4v, H5r"
12,[1554_TJI_Grou] 136 L’anneau qu’amour pour moy d’elle impetra,n° 136,D’un anneau de cristal receu de sa Maistresse.,L’anneau qu’amour pour moy d’ellɇ impetra,H5r
11,[1554_TJI_Grou] 137 Comme un cheval se pollit à l’estrille,n° 137,"Rondeau de l’Amant jouissant, par P. R.",Commɇ un cheval se pollit à l’estrille,"H5r, H5v"
10,[1554_TJI_Grou] 138 En avoir tant et d’un seul estre prise,n° 138,De Marguerite.,En avoir tant & d’un seul estre prise,"H5v, H6r"
9,[1554_TJI_Grou] 139 Pleurez joyeuses Amourettes,n° 139,"De la mort du passereau d’une Damoyselle, à l’imitation de celuy de Catulle de sa Lesbia, par S. R.",Pleurez joyeuses amourettes,"H6r, H6v"
8,[1554_TJI_Grou] 140 Souz un espoir de parvenir,n° 140,"D’un Amant desesperé, par A. Vig.",Souz un espoir de parvenir,"H6v, H7r"
7,[1554_TJI_Grou] 141 Un jour j’escriviz une lettre,n° 141,"D’une qui ne vouloit qu’on appellast son mary Maistre, par I. L. C.",Un jour j’escriviz une lettre,H7r.
6,"[1554_TJI_Grou] 142 Le tiers des troys, o piteuse nouvelle",n° 142,Elegie sur le trespas de feu monsieur Charles de Valoys duc d’Orleans.,"Le tiers des troys, o piteuse nouvelle",H7v
5,"[1554_TJI_Grou] 143 Quelqu’un, voulant plaisanter un petit",n° 143,"Imitation d’un Epigramme de Thomas Morus, par Marc Antoine de Muret.","Quelqu’un, voulant plaisanter un petit",H8r
4,[1554_TJI_Grou] 144 Si de toy je n’ay allegeance,n° 144,"Requeste d’un baiser, par L. I. C.",Si de toy je n’ay allegeance,H8r
3,[1554_TJI_Grou] 145 Jan se voyant trop pauvre et malheureux,n° 145,"D’un lequel se voulant pendre trouva un tresor, par N. B.",Jan se voyant trop pauvrɇ & malheureux,"H8r, H8v"
2,[1554_TJI_Grou] 146 Un jour Tassin au gosier sec,n° 146,Dixain des Trousseaux de Robin.,Un jour Tassin au gosier sec,H8v
