,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
53,[1559_Poesiefac_Rigaud] 068 Amour à fait rampener ses deux aesles,n° 068,Dizain.,Amour à fait rampener ses deux æsles,"D7v, D8r"
52,[1559_Poesiefac_Rigaud] 069 Amour voyant ma grande loyauté,n° 069,Dizain.,Amour voyant ma grande loyauté,D8r
51,[1559_Poesiefac_Rigaud] 070 D’en aymer trois ce m’est force et contrainte,n° 070,Dizain.,D’en aymer trois ce m’est force &amp; contrainte,D8r
50,"[1559_Poesiefac_Rigaud] 071 Qui se contente d’une, en peut avoir plaisir",n° 071,Responce.,"Qui se contente d’une, en peut avoir plaisir","D8r, D8v"
49,[1559_Poesiefac_Rigaud] 072 Merencolicq triste et pensif je suys,n° 072,"Dizain à quatre Damoyselles, blasmant aucun qui ne leur tenoit compaignie.",Merencolicq triste &amp; pensif je suys,D8v
48,[1559_Poesiefac_Rigaud] 073 Fortune las en tant de lieux me blesse,n° 073,Dizain.,Fortune las en tant de lieux me blesse,"D8v, E1r"
47,[1559_Poesiefac_Rigaud] 074 Bon jour la dame au bel amy,n° 074,Huitain.,Bon jour la dame au bel amy,E1r
46,[1559_Poesiefac_Rigaud] 075 De moins que rien à peu l’on peut venir,n° 075,Huitain.,De moins que rien à peu l’on peut venir,E1r
45,"[1559_Poesiefac_Rigaud] 076 Je ne le croy, et le scay seurement",n° 076,Huitain.,"Je ne le croy, &amp; le scay seurement","E1r, E1v"
44,"[1559_Poesiefac_Rigaud] 077 O heureuse nouvelle, ô desiré rapport",n° 077,Pour la guarison d’une Dame bien aymée.,"O heureuse nouvelle, ô desiré rapport",E1v
43,[1559_Poesiefac_Rigaud] 078 Par mon droit nom m’appelle Girouette,n° 078,D’une Girouette.,Par mon droit nom m’appelle Girouette,E1v
42,[1559_Poesiefac_Rigaud] 079 Or fus amour puis que tu m’as attaint,n° 079,Huitain.,Or fus amour puis que tu m’as attaint,E2r
41,[1559_Poesiefac_Rigaud] 080 A Menelac et Paris je pardonne,n° 080,Huitain.,A Menelac &amp; Paris je pardonne,E2r
40,[1559_Poesiefac_Rigaud] 081 Amour craignant de perdre le povoir,n° 081,Huitain.,Amour craignant de perdre le povoir,E2r
39,[1559_Poesiefac_Rigaud] 082 Je ne faiz rien que plaindre et souspirer,n° 082,Huitain.,Je ne faiz rien que plaindre &amp; souspirer,E2v
38,[1559_Poesiefac_Rigaud] 083 Si je maintiens ma vie seulement,n° 083,Huitain.,Si je maintiens ma vie seulement,E2v
37,[1559_Poesiefac_Rigaud] 084 O ennuy decepvant par douceur,n° 084,Huitain.,O ennuy decepvant par douceur,E2v
36,"[1559_Poesiefac_Rigaud] 085 Un doux nenny, avec un doux souzrire",n° 085,Huitain à l’Amye.,"Un doux nenny, avec un doux souzrire",E3r
35,[1559_Poesiefac_Rigaud] 086 Puis qu’au meilleu de l’eaue d’un puissant fleuve,n° 086,Huitain.,Puis qu’au meilleu de l’eaue d’un puissant fleuve,E3r
34,"[1559_Poesiefac_Rigaud] 087 Au monde suis libre et serf, tout ensemble",n° 087,"Liberté & servitude, procedante d’amour.","Au monde suis libre &amp; serf, tout ensemble","E3r, E3v"
33,"[1559_Poesiefac_Rigaud] 088 Tu n’as beauté, bonté ne bonne grace",n° 088,D’un qui se vantoit de la grandeur & grosseur de son membre.,"Tu n’as beauté, bonté ne bonne grace",E3v
32,"[1559_Poesiefac_Rigaud] 089 Ysabeau, lundy m’envoyastes",n° 089,A Ysabeau.,"Ysabeau, lundy m’envoyastes",E3v
31,[1559_Poesiefac_Rigaud] 090 Non sans raison on condamne et accuse,n° 090,Dizain.,Non sans raison on condamne &amp; accuse,"E3v, E4r"
30,[1559_Poesiefac_Rigaud] 091 S’il m’en souvient vieille au regard hideux,n° 091,D’une Vieille.,S’il m’en souvient vieille au regard hideux,E4r
29,[1559_Poesiefac_Rigaud] 092 Macée me veut faire accroire,n° 092,De Macée.,Macée me veut faire accroire,E4r
28,[1559_Poesiefac_Rigaud] 093 Il fait grand mal à quelque crediteur,n° 093,Non estre ingrat des biens faitz.,Il fait grand mal à quelque crediteur,"E4r, E4v"
27,[1559_Poesiefac_Rigaud] 094 Vostre obligé (monsieur) je me confesse,n° 094,Huitain.,Vostre obligé (monsieur) je me confesse,E4v
26,[1559_Poesiefac_Rigaud] 095 Le lendemain des nopces on vint veoir,n° 095,Autre Huitain.,Le lendemain des nopces on vint veoir,E4v
25,[1559_Poesiefac_Rigaud] 096 En bonne foy je ne suis point content,n° 096,A ceux qui vont à la taverne sans argent.,En bonne foy je ne suis point content,"E4v, E5r"
24,[1559_Poesiefac_Rigaud] 097 Colin avoit fait marché avec une,n° 097,Huitain.,Colin avoit fait marché avec une,E5r
23,[1559_Poesiefac_Rigaud] 098 Que me proffite ta promesse,n° 098,A un Prometteur sans effet Triolet.,Que me proffite ta promesse,E5r
22,[1559_Poesiefac_Rigaud] 099 Si la beauté se perist en peu d’heure,n° 099,Pas de titre,Si la beauté se perist en peu d’heure,E5v
21,[1559_Poesiefac_Rigaud] 100 Si grand beauté se perist en peu d’heure,n° 100,Responce.,Si grand beauté se perist en peu d’heure,E5v
20,[1559_Poesiefac_Rigaud] 101 Tiens noz deux cœurs par un vouloir uniz,n° 101,Quatrin.,Tiens noz deux cœurs par un vouloir uniz,E5v
19,[1559_Poesiefac_Rigaud] 102 On dit qu’amour luy mesmes l’aymera,n° 102,Quatrin.,On dit qu’amour luy mesmes l’aymera,E5v
18,[1559_Poesiefac_Rigaud] 103 Je le disois que l’on m’a estrangé,n° 103,Quatrin.,Je le disois que l’on m’a estrangé,E5v
17,[1559_Poesiefac_Rigaud] 104 Ton gentil corps en beauté souveraine,n° 104,Autre Quatrin.,Ton gentil corps en beauté souveraine,E6r
16,[1559_Poesiefac_Rigaud] 105 Ayez pitié du grief mal que j’endure,n° 105,Autre Quatrin.,Ayez pitié du grief mal que j’endure,E6r
15,[1559_Poesiefac_Rigaud] 106 Tant plus je pense estre pres de mon bien,n° 106,Autre Quatrin.,Tant plus je pense estre pres de mon bien,E6r
14,[1559_Poesiefac_Rigaud] 107 Prestez moy un de ces yeulx bien apris,n° 107,Autre Quatrin.,Prestez moy un de ces yeulx bien apris,E6r
13,"[1559_Poesiefac_Rigaud] 108 Las il m’est force, et ainsi je conclus",n° 108,Autre Quatrin.,"Las il m’est force, &amp; ainsi je conclus",E6r
12,[1559_Poesiefac_Rigaud] 109 Pour tout reprendre par malice,n° 109,A un Repreneur.,Pour tout reprendre par malice,E6v
11,[1559_Poesiefac_Rigaud] 110 De varier n’en est plus mention,n° 110,Autre Quatrin.,De varier n’en est plus mention,E6v
10,"[1559_Poesiefac_Rigaud] 111 Je l’ay chassée, et un autre la prise",n° 111,Autre Quatrin.,"Je l’ay chassée, &amp; un autre l’a prise",E6v
9,"[1559_Poesiefac_Rigaud] 112 Les mesdisantzs, par leur maschant langaige",n° 112,Autre des Mesdisantz.,"Les mesdisantzs, par leur maschant langaige",E6v
8,"[1559_Poesiefac_Rigaud] 113 Amy Cremau, on t’a fait le raport",n° 113,Marot du faux bruit de sa mort. Douzain.,"Amy Cremau, on t’a fait le raport","E6v, E7r"
7,"[1559_Poesiefac_Rigaud] 114 Il fut un bruit, ô Marot qu’estoit mort",n° 114,"Saint Marthe à Marot, idem.","Il fut un bruit, ô Marot qu’estoit mort",E7r
6,"[1559_Poesiefac_Rigaud] 115 L’Oeil trop hardy, si haut lieu regarda",n° 115,De monsieur le Cardinal de Tournon.,"L’Oeil trop hardy, si haut lieu regarda","E7r, E7v"
5,[1559_Poesiefac_Rigaud] 116 Un jeune femme espousée,n° 116,Douzain.,Une jeune femme espousée,E7v
4,[1559_Poesiefac_Rigaud] 117 Je vous supply fortune et variable temps,n° 117,Sizain.,Je vous supply fortune &amp; variable temps,E7v
3,[1559_Poesiefac_Rigaud] 118 Las ne voys tu pas,n° 118,D’un Usurier. Virelay.,Las ne voys tu pas,"E7v, E8r"
2,"[1559_Poesiefac_Rigaud] 119 Pauline est riche, et me veut bien",n° 119,Autres nouvelles Inventions faites par plusieurs Poëtes. De Pauline.,"Pauline est riche, &amp; me veut bien",E8r
1,[1559_Poesiefac_Rigaud] 120 La liberté cher amy des essars,n° 120,Envoy de Saint Gelais au seigneur des Essars.,La liberté cher amy des essars,"E8r, E8v"
