,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
143,[1554_Tradlatfr_Grou] 027 Un ouy mal acompaigné,n° 027,D'un Ouy. ,Un ouy mal acompaigné,B1r
142,[1554_Tradlatfr_Grou] 028 Pour tous souhaitz ne desire en ce monde,n° 028,Les souhaitz d'un Amoureux. [et non Chanoine.],Pour tous souhaitz ne desirɇ en ce monde,"B1r, B1v"
141,[1554_Tradlatfr_Grou] 029 Un jour d'yver Robin tout esperdu,n° 029,De Robin &amp; Catin.,Un jour d'yver Robin tout esperdu,B1v
140,[1554_Tradlatfr_Grou] 030 L'heur ou malheur de vostre cognoissance,n° 030,A Anne.,L'heur ou malheur de vostre cognoissance,B1v
139,[1554_Tradlatfr_Grou] 031 Une Catin sans fraper à la porte,n° 031,D'une qui alla voir les Beaux Peres.,Une Catin sans fraper à la porte,"B1v, B2r"
138,[1554_Tradlatfr_Grou] 032 Comme un escolier se jouet,n° 032,D'un Escolier & d'une Fillete.,Commɇ un escolier se jouet,B2r
137,[1554_Tradlatfr_Grou] 033 Quand je voy ma maistresse,n° 033,De sa Maistresse.,Quand je voy ma maistresse,"B2r, B2v"
136,[1554_Tradlatfr_Grou] 034 Tous chevaliers de queste aventureuse,n° 034,Pour le Perron de monsieur de Vendosme. I.,Tous chevaliers de questɇ aventureuse,B2v
135,[1554_Tradlatfr_Grou] 035 Le Chevalier sans peur et sans reproche,n° 035,"Pour le Perron de monsieur d'Angien, dont la superscription estoit telle. Pour le Perron d'un Chevalier qui ne se nomme point II.",Le Chevalier sans peur & sans reproche,"B2v, B3r"
134,"[1554_Tradlatfr_Grou] 036 Vous chevaliers errans, qui desirez honneur",n° 036,Pour le Perron de monsieur de Nevers. III.,"Vous chevaliers errans, qui desirez honneur",B3r
133,[1554_Tradlatfr_Grou] 037 C'est pour la souvenance d'une,n° 037,"Pour le Perron de monsieur d'Aumale, qui estoit semé des lettres. L. F.",C'est pour la souvenance d'une,"B3r, B3v"
132,[1554_Tradlatfr_Grou] 038 N'a pas long temps fut fait une dispute,n° 038,Du loquet de la porte de s'Amye.,N'a pas long temps fut fait une dispute,B4r
131,"[1554_Tradlatfr_Grou] 039 Pourtant, s'ainsi bien reparée",n° 039,A une Vielle dorée. L. D. ,"Pourtant, s'ainsi bien reparée","B4r, B4v"
130,[1554_Tradlatfr_Grou] 040 Fiat au dos de ma requeste,n° 040,"A une Dame moins pudique que belle, par L. T.",Fiat au dos de ma requeste,B4v
129,[1554_Tradlatfr_Grou] 041 J'ay trop pensé pour bien le sçavoir dire,n° 041,De jouyr de s'Amye.,J'ay trop pensɇ pour bien le sçavoir dire,"B4v, B5r"
128,[1554_Tradlatfr_Grou] 042 Quelqu'un desirant estre Presbtre,n° 042,"D'un qui vouloit estre Presbtre, par G. C.",Quelqu'un desirant estre Presbtre,B5r
127,[1554_Tradlatfr_Grou] 043 Frere Colin confesseur de Nonnettes,n° 043,"De frere Colin, par C. G. [et pas M. G.]",Frere Colin confesseur de Nonnettes,"B5r, B5v"
126,"[1554_Tradlatfr_Grou] 044 Un jour Amour, par grand aveuglement",n° 044,"Imitation d'un Embleme d'Alciat, par L. T.","Un jour Amour, par grand aveuglement",B5v
125,[1554_Tradlatfr_Grou] 045 Quand je ne le te veux point faire,n° 045,"A une Layderon pris du latin. Esse Gellia me putas Spadonem, par S. R.",Quand je ne le te veux point faire,"B5r, B6r"
124,[1554_Tradlatfr_Grou] 046 Alix qui son ventre portoit,n° 046,"D'une grosse Garce qui feignoit estre grosse d'enfant, pris du latin. Venter cum tumuisset Augurella, par S. R.",Alix qui son ventre portoit,B6r
123,[1554_Tradlatfr_Grou] 047 Trois femmes un jour disputoient,n° 047,"Du devis des Dames, par L. H.",Trois femmes un jour disputoient,"B6r, B6v"
122,[1554_Tradlatfr_Grou] 048 N'a pas long temps que je veiz Jaqueline,n° 048,"De D. Jaqueline, par C. C. C.",N'a pas long temps que je veiz Jaqueline,B6v
121,[1554_Tradlatfr_Grou] 049 Avec ma Dame un jour j'estois couché,n° 049,"Du malheur de nature, par M. G.",Avec ma Damɇ un jour j'estois couché,"B6v, B7r"
120,[1554_Tradlatfr_Grou] 050 Zeleucus fit à son païs la loy,n° 050,De la justice & pieté de Zeleucus pris du latin par I. B.,Zeleucus fit à son païs la loy,B7r
119,"[1554_Tradlatfr_Grou] 051 S'on ne mouroit qu'en guerre, ou par exces",n° 051,D'un Vieillard.,"S'on ne mouroit qu'en guerrɇ, ou par exces","B7r, B7v"
118,[1554_Tradlatfr_Grou] 052 Une vieille un jour confessoit,n° 052,"De frere Jean & de la Vielle, par M. G.",Une vieillɇ un jour confessoit,B7v
117,[1554_Tradlatfr_Grou] 053 Frere Lubin revenant de la queste,n° 053,De frere Lubin par L. I.,Frere Lubin revenant de la queste,"B7v, B8r"
116,[1554_Tradlatfr_Grou] 054 S'il est ainsi que peu la beauté dure,n° 054,A une Dame pris de ce distique d'Ursinus Velius. Si perit impartire prius quam forma senescat. &amp;c. par S. R.,S'il est ainsi que peu la beauté dure,B8r
115,[1554_Tradlatfr_Grou] 055 Quand on me dist que la petite blonde,n° 055,D'Anne.,Quand on me dist que la petite blonde,"B8r, B8v"
114,[1554_Tradlatfr_Grou] 056 Anne a pourtrait un champ d'arbres floriz,n° 056,D'Anne encores par A. B.,Annɇ a pourtrait un champ d'arbres floriz,B8v
113,[1554_Tradlatfr_Grou] 057 Hazardeux pensent à leurs dix,n° 057,"Du songe d'une Femme pris du latin, par A. B.",Hazardeux pensent à leurs dix,"B8v, C1r"
112,[1554_Tradlatfr_Grou] 058 Un jour Colin sa collette aculla,n° 058,"De Colin, par G. C.",Un jour Colin sa collettɇ aculla,C1r
111,[1554_Tradlatfr_Grou] 059 C'est grand cas de ce maistre Moyne,n° 059,Du Moyne de Pantagruel. L.,C'est grand cas de ce maistre Moyne,C1r
110,[1554_Tradlatfr_Grou] 060 Une Chrestienne interrogeoit la femme,n° 060,Responce d'une Juïve à une Chrestienne touchant la Circoncision. ,Une Chrestiennɇ interroguoit la femme,"C1r, C1v"
109,[1554_Tradlatfr_Grou] 061 Monsieur s'en vint en masque deguisé,n° 061,D'un Avocat & de sa Femme. par P. C.,Monsieur s'en vint en masque deguisé,C1v
108,"[1554_Tradlatfr_Grou] 062 Un bon mary, des meilleurs que l'on face",n° 062,"Autrement, par S. R.","Un bon mary, des meilleurs que l'on face","C1v, C2r"
107,"[1554_Tradlatfr_Grou] 063 Assouvy suis, et ne me puis [peux] sufire",n° 063,"D'un qui ayme, par A. B.","Assouvy suis, & ne me puis sufire",C2r
106,[1554_Tradlatfr_Grou] 064 Je hay et ayme : en fuyant je poursuis,n° 064,"Du mesme, par l'Autheur susdit.",Je hay & aymɇ : en fuyant je poursuis,C2r
105,[1554_Tradlatfr_Grou] 065 La volupté et douleur surmonter,n° 065,"De volupté & ignorance, par L. M. N.",La volupté & douleur surmonter,"C2r, C2v"
104,"[1554_Tradlatfr_Grou] 066 Vivons m'amye, et nous aymons",n° 066,"A une Amye pris du latin de Catulle. Vivamus, mea Lesbia, atque amenius, & par S. R.","Vivons m'amyɇ, & nous aymons",C2v
103,[1554_Tradlatfr_Grou] 067 Je veux que m'amye soit telle,n° 067,"Quelle doit estre une Amye, pris du latin d'Ausone. Sit michi talis amica velim / Iurgia que temere incipiat &c. par S. R.",Je veux que m'amye soit telle,"C2v, C3r"
102,[1554_Tradlatfr_Grou] 068 Je ne veux point pour mon plaisir,n° 068,"De ce mesme, par L. I.",Je ne veux point pour mon plaisir,"C3r, C3v"
101,[1554_Tradlatfr_Grou] 069 Un amoureux une nuyt impetra,n° 069,"D'un Amoureux de la vieille impression, par A. B.",Un amoureux une nuyt impetra,C3v
100,[1554_Tradlatfr_Grou] 070 Une Nonnain fut engrossée,n° 070,"D'une Nonnain enceinte, pris du Latin de Macrinus. Vestali incesto cum plena tumesceret alvus. Objurgarat eam, &c.",Une Nonnain fut engrossée,"C3v, C4r"
99,"[1554_Tradlatfr_Grou] 071 L'oyseau, qui a sur tous le vol hautain",n° 071,"D'une Damoyselle apellée l'Oyseau, par D. B. [B. C.]","L'oyseau, qui a sur tous le vol hautain",C4r
98,"[1554_Tradlatfr_Grou] 072 Sur tous desirs je ne quiers rien, que d'estre",n° 072,D'elle mesme encor' par le susdit.,"Sur tous desirs je ne quiers rien, que d'estre","C4r, C4v"
97,"[1554_Tradlatfr_Grou] 073 Quand on est sain, et qu'il fait chault",n° 073,"De Guillaume, par M. G.","Quand on est sain, & qu'il fait chault",C4v
96,[1554_Tradlatfr_Grou] 074 Par la douceur qu'on void de toutes pars,n° 074,"D'une Damoyselle, nommée Marce de Grand-met [mont], par D. B.",Par la douceur qu'on void de toutes pars,"C4v, C5r"
95,[1554_Tradlatfr_Grou] 075 D'un taint vermeil plus n'est ta face painte,n° 075,"A une qui avoit les palles couleurs, par D. B.",D'un taint vermeil plus n'est ta face painte,C5r
94,[1554_Tradlatfr_Grou] 076 Ainsi qu'Archers d'une assemblée grande,n° 076,S. R. de soymesme.,Ainsi qu'Archers d'unɇ assemblée grande,"C5r, C5v"
93,[1554_Tradlatfr_Grou] 077 Claudine me maudit tousjours,n° 077,"De Claudine, pris du latin de Catulle. Lesbia mi dicit semper male, nec tacet unquam. De me &c. par S. R.",Claudine me maudit tousjours,C5v
92,[1554_Tradlatfr_Grou] 078 Nostre Thraso demy quart de noblet,n° 078,D'un Glorieux faisant du Gentil-homme par L. D.,Nostre Thraso demy quart de noblet,"C5v, C6r"
91,"[1554_Tradlatfr_Grou] 079 Si celle là, qui ne fut oncques mienne",n° 079,"D'une Damoyselle, par G. C.","Si celle là, qui ne fut oncques mienne",C6r
90,[1554_Tradlatfr_Grou] 080 Si Dieu vouloit pour un jour seulement,n° 080,"Souhaitz d'un Amy vers s'Amye, par H, autrement dit L. M. N.",Si Dieu vouloit pour un jour seulement,"C6r, C6v"
89,[1554_Tradlatfr_Grou] 081 Son pouvoir est de me faire oublier,n° 081,Stanse apres qu'il eut fait ce souhait.,Son pouvoir est de me fairɇ oublier,C6v
88,[1554_Tradlatfr_Grou] 082 Celuy qui vieille amye avoit,n° 082,"D'un qui aymoit une Vieille, par D. B.",Celuy qui vieillɇ amyɇ avoit,C6v
87,[1554_Tradlatfr_Grou] 083 L'espousée à la nuit premiere,n° 083,"D'une Jeune Espousée, par D. B.",L'espouséɇ à la nuit premiere,C7r
86,[1554_Tradlatfr_Grou] 084 Un gros Prieur faisant son testament,n° 084,"D'un Gros Moyne, par D. B.",Un gros Prieur faisant son testament,C7r
85,[1554_Tradlatfr_Grou] 085 Un Curé plein de malice et faintise,n° 085,"D'un Curé ignare, par D. B.",Un Curé plein de malice & faintise,"C7r, C7v"
84,[1554_Tradlatfr_Grou] 086 Un Avocat voulant aller dehors,n° 086,D'un Avocat d'Orleans &amp; de son Clerc.,Un Avocat voulant aller dehors,C7v
83,[1554_Tradlatfr_Grou] 087 Un maistre es arts fort se resjouyssoit,n° 087,D'un Maistre es ars & de Jaqueton.,Un maistrɇ es arts fort se resjouyssoit,"C7v, C8r"
82,"[1554_Tradlatfr_Grou] Pour un seul coup, sans y faire retour",n° 088,"Du jeu d'Amours, par M.","Pour un seul coup, sans y faire retour",C8r
81,[1554_Tradlatfr_Grou] Cy est le corps en sepulture mis,n° 089,"Epitaphe de la Grand Noire de Tours, par L. D.",Cy est le corps en sepulture mis,"C8r, C8v"
80,[1554_Tradlatfr_Grou] Alix me jure fermement,n° 090,"Le mesme adressé à Alix, par L. M.",Alix me jure fermement,C8v
79,[1554_Tradlatfr_Grou] Dedans Paris bien fort l'on te menace,n° 091,"Dixain de Lion Jamet, à Marot quelque temps apres qu'il eut veu le grand epitaphe d'Alix qui commence. Cy gist, qui est une grand' perte en culetis, &c. ",Dedans Paris bien fort l'on te menace,"C8v, D1r"
78,"[1554_Tradlatfr_Grou] Cy gist Martin, qui pour saouller Alix",n° 092,"Epitaphe nouveau de Martin, par C. M.","Cy gist Martin, qui pour saouller Alix",D1r
77,"[1554_Tradlatfr_Grou] Cy gist, qui a tousjours tenu",n° 093,"Epitaphe du Seigneur Baron de Carmion, par S. R.","Cy gist, qui a tousjours tenu","D1r, D1v"
76,[1554_Tradlatfr_Grou] L'amye et moy apres joyeux esbatz,n° 094,"Du Seigneur Stroze filz, & de s'amye Cœlia, pris du latin. Tam cito dissidium post gaudia Cœlia nobis / Tam cito post ipsum, gaudia, dissidium.",L'amyɇ et moy apres joyeux esbatz,"D1v, D2r"
75,[1554_Tradlatfr_Grou] Un jour avint qu'un galland engrossa,n° 095,"D'une Jeune Fille enceinte, pris du Latin de G. V. C., par S. R.",Un jour avint qu'un galland engrossa,D2r
74,[1554_Tradlatfr_Grou] La jeune fille Ysabeau me demande,n° 096,"Epigramme de Joa. Myn. Dentatus. Dum querit barbam. &c. mis en françoys, par L. H. S.",La jeune fillɇ Ysabeau me demande,"D2r, D2v"
73,[1554_Tradlatfr_Grou] C'est grand cas que je ne sçaurois,n° 097,"Epigramme du I. livre de Martial. Non amo te, &c. mis en françoys, par S. R.",C'est grand cas que je ne sçaurois,D2v
72,"[1554_Tradlatfr_Grou] Collette à, je le vous confesse",n° 098,"Du 5 de Martial. Thais habet nigros, &c. par S. R.","Collettɇ à, je le vous confesse","D2v, D3r"
71,[1554_Tradlatfr_Grou] Puis que vous vous semblez tous deux,n° 099,"Du 8. de Martial. Cum sitis similes, &amp;c. par S. R.",Puis que vous vous semblez tous deux,D3r
70,[1554_Tradlatfr_Grou] Cuydez-vous que ce mignon là,n° 100,"Du 9. dudit Martial, Hunc quem cœna tibi &c. traduit par S. R.",Cuydez-vous que ce mignon là,"D3r, D3v"
69,[1554_Tradlatfr_Grou] Amy qui me prometz du tien,n° 101,"Du II de Martial. Nil prestas vivus, dicis post fata, &amp;c. traduit par S. R.",Amy qui me prometz du tien,D3v
68,[1554_Tradlatfr_Grou] Tu me prometz beaucoup de bien,n° 102,"Du 12. dudit Martial. Omnia promittis, cum nocte tota bi. &c. par S. R.",Tu me prometz beaucoup de bien,"D3v, D4r"
67,[1554_Tradlatfr_Grou] Tant plus sur toy sont arrestez mes yeux,n° 103,"A une Dame, par G. C.",Tant plus sur toy sont arrestez mes yeux,D4r
66,[1554_Tradlatfr_Grou] Quand Françoys eut d'un grand esprit apris,n° 104,"Epitaphe du feu Roy Francoys I. de ce nom pris du Latin. Cum terram hic nocet, &c. ",Quand Françoys eut d'un grand esprit apris,"D4r, D4v"
65,[1554_Tradlatfr_Grou] Je fuz jadis engendré de deux Roys,n° 105,"Epitaphe de feu monsieur le Dauphin, pris de vers latins.",Je fuz jadis engendré de deux Roys,D4v
64,[1554_Tradlatfr_Grou] Ne t'enquiers plus passant qui est le corps,n° 106,"Epitaphe de feu monsieur d'Anguyen, pris du Latin. Circum septum magnis, usque sane debetis.",Ne t'enquiers plus passant qui est le corps,"D4v, D5r, D5v"
63,"[1554_Tradlatfr_Grou] Cy gist un corps, qui a eu le pouvoir",n° 107,"Epitaphe de feu monsieur de Langey pris du Latin. Hic jacet &amp; lasso requiescit, &c. mis en françoys par M. G.","Cy gist un corps, qui a eu le pouvoir",D5v
62,"[1554_Tradlatfr_Grou] Passant va, je repose",n° 108,Autre pris du latin. Vade quiescit [quiesco] &c. par luy [le] mesme M. G.,"Passant va, je repose","D5v, D6r"
61,[1554_Tradlatfr_Grou] Par volonté testamentaire,n° 109,"Epitaphe de feu monsieur Budé. pris du Latin. Budæus voluit media de nocte, &c. par L. H. S.",Par volonté testamentaire,D6r
60,[1554_Tradlatfr_Grou] Le grand Erasme icy repose,n° 110,"Epitaphe d'Erasme pris du Latin. Magnus Erasmus in hoc tumulo est, &c. par C. M.",Le grand Erasmɇ icy repose,D6r
59,"[1554_Tradlatfr_Grou] Te veux-tu enquerir, viateur, qui je suis",n° 111,"Epitaphe de messire Jan Olivier Evesque d'Angiers, pris du Latin. Inquiris, hospes qui siem, &c. Traduit, ainsi qu'on dit, par B. [C.] M. Vers Alexandrins.","Te veux tu enquerir, viateur, qui je suis","D6v, D7r"
58,"[1554_Tradlatfr_Grou] Ne t'enquiers plus, o passant, qui je suis",n° 112,"Autrement, par P. B. Xaintongeois.","Ne t'enquiers plus, o passant, qui je suis","D7r, D7v"
57,[1554_Tradlatfr_Grou] Ma naissance fut de Cahors,n° 113,"Epitaphe de feu Clement Marot, dit le Maro de France, par M. G. ",Ma naissance fut de Cahors,"D7v, D8r"
56,[1554_Tradlatfr_Grou] Pourquoy le corps du Poëte de France,n° 114,Autre par monsieur du Val Evesque de Séez. ,Pourquoy le corps du Poëte de France,D8r
55,[1554_Tradlatfr_Grou] Ce Marot mort vit plus qu'il ne vivoit,n° 115,"Autre, par Saint Romard. ",Ce Marot mort vit plus qu'il ne vivoit,"D8r, D8v"
54,[1554_Tradlatfr_Grou] Flora voyant malade son mary,n° 116,"Epitaphe de Flora pris du latin. Languentem conjux morbo graviore maritum. Dum plorat, par I. B.",Flora voyant malade son mary,D8v
53,[1554_Tradlatfr_Grou] Qu'est ce qui gist dedans ce cercueil là,n° 117,"Epitaphe de Sardanapalus, pris de ce Dialogue latin, Dic quis in hac urna est &c. par S. R.",Qu'est ce qui gist dedans ce cercueil là,"D8v, E1r"
52,[1554_Tradlatfr_Grou] Quelque mignon en prenant congé d'une,n° 118,"De la Responce de Margot Noiron à un Gentilhomme qui avoit couché avec elle, par A. V.",Quelque mignon en prenant congé d'une,"E1r, E1v"
51,"[1554_Tradlatfr_Grou] Oyez les cieux, l'air et la terre large",n° 119,"Complainte sur le trespas de feu Monseigneur d'Orleans, faitte par l'un des Gentilzhommes de sa chambre.","Oyez les cieux, l'air & la terre large","E1r, E2r, E2v, E3r, E3v, E4r"
50,"[1554_Tradlatfr_Grou] Quiconques sois, amy passant qui veux",n° 120,"Complainte de feu messire Philippes Chabot, Chevalier de l'ordre du Roy nostre Sire & Amiral de France. Traduite du latin de l'Evesque de Noyon, par S. R.","Quiconques sois, amy passant qui veux","E4v, E5r, E5v"
49,[1554_Tradlatfr_Grou] Je ne veux point [pour] mes fautes excuser,n° 121,"La quatriesme Elegie du 2. livre des Amours d'Ovide, commençant en Latin. Non ego mendosos ausim defendere amores / Falsà que pro vitiis &c. Traduit par S. R.",Je ne veux point mes fautes excuser,"E6r, E6v, E7r, E7v, E8r"
48,[1554_Tradlatfr_Grou] O dur mary en ayant imposée,n° 122,"La 4. Elegie du 3 livre des amours du mesme Ovide, commençant en latin. Dure vir imposito teneræ &c. mise en françoys, par G. C. [n.]",O dur mary en ayant imposée,"E8r, E8v, F1r, F1v, F2r"
47,[1554_Tradlatfr_Grou] De juste gain et loyale promesse,n° 123,"Imitation du sixiesme Baiser de Jan Second, dont le commencement latin est. De meliore nota &c. par G. C.",De juste gain & loyale promesse,"F2r, F2v, F3r, F3v, F4r"
46,"[1554_Tradlatfr_Grou] Cent mile foys, et en cent mile sortes",n° 124,"Le septiesme Baiser dudit Second, & commence en latin. Centum basia centies. &c., mis en nostre langue, par le mesme G. C.",Cent mile foys & en cent mile sortes,"F4r, F4v"
45,[1554_Tradlatfr_Grou] Quelle male rage t'a prise,n° 125,"Le huitiesme Baiser commençant en latin. Qui [quis] te furior. &c fait françoys, par S. R. ",Quelle male rage t'a prise,"F4v, F5r, F5v"
44,[1554_Tradlatfr_Grou] Ne m'usez plus de baisers savoureux,n° 126,"Le neufiesme Baiser dudit Joannes Secondus lequel se commence en latin. Non semper &c., traduit en nostre langue, par ledit S. R. ",Ne m'usez plus de baisers savoureux,"F5v, F6r"
43,"[1554_Tradlatfr_Grou] Helas amy, le temps s'enfuyt et passe",n° 127,"Ode du 2. Horace, dont le commencement latin est Eheu fugaces, posthume, posthume &c. Traduite par S. R.","Helas amy, le temps s'enfuyt & passe","F6r, F6v, F7r"
42,[1554_Tradlatfr_Grou] Estant en mer un navire agité,n° 128,"Elegie de C. L. M. Lyonnois, prise du Latin de Thomas Morus, qui se commence. Cum tumida horrissonis &c. ",Estant en mer un navirɇ agité,"F7r, F7v"
41,[1554_Tradlatfr_Grou] Or suis-je doncq' demeuré le vaincueur,n° 129,"Rencontre de deux Amants prise des vers Latins de I. G. commençant Cura, labor, lachrimæ &c., par S. R.",Or suis-je doncq' demeuré le vaincueur,"F7v, F8r, F8v, G1r, G1v, G2r, G2v, G3r, G3v, G4r, G4v"
40,[1554_Tradlatfr_Grou] Menelaüs n'eut oncq' autant de joye,n° 130,"Quelque Amy se resjouit, ayant jouy de sa Dame, à l'imitation de Proper. li. 2. Eleg. 14. Non ita Dardonio &c. par L. H. S.",Menelaüs n'eut oncq' autant de joye,"G4v, G5r, G5v, G6r"
39,[1554_Tradlatfr_Grou] Quand à Eunice un baiser gracieux,n° 131,"Le 24. Edition de Theocrite auteur grec fait latin par Heob. Essus, & depuis mis en françoys, par Lazare de Baif le jeune.",Quand à Eunicɇ un baiser gracieux,"G6r, G6v, G7r, G7v"
38,"[1554_Tradlatfr_Grou] Il n'ya point, en tout le monde",n° 132,"Ex primo libro Epigrammatum Marci Antonii Mureti. Non toto est mulier, quàm Lais justior orbe, / Cur ita ? nam rectum semper amare solet. / En Françoys par luy mesme.","Il n'y a point, en tout le monde","G7v, G8r"
37,[1554_Tradlatfr_Grou] Quoy que Langey soit cendre desormais,n° 133,"De la langue de feu monsieur de Langey, pris de Homedeus, par M. G.",Quoy que Langey soit cendre desormais,"G8r, G8v"
36,[1554_Tradlatfr_Grou] Pleurez joyeuses amourettes,n° 134,"De la mort du passereau d'une Damoyselle, à l'imitation de celuy de Catulle de sa Lesbia dont le latin est Lugete Veneres Cupidinesque &c. par S, R.",Pleurez joyeuses amourettes,"G8v, H1r"
35,[1554_Tradlatfr_Grou] Un cordelier tomba entre les mains,n° 135,"D'un Cordelier & d'aucuns Soldatz, par D. B.",Un cordelier tomba entre les mains,"H1r, H1v"
34,[1554_Tradlatfr_Grou] Je ne veux point de trop volage amye,n° 136,Des conditions de l'Amye moderne.,Je ne veux point de trop volagɇ amye,"H1v, H2r, H2v"
33,[1554_Tradlatfr_Grou] Daphnis à la chasse s'en va,n° 137,"Chanson sous le nom de Daphnis, de G. & de L.",Daphnis à la chasse s'en va,"H2v, H3r"
32,[1554_Tradlatfr_Grou] Je vy n'aguere un des plus beaux combatz,n° 138,Balade ou non [au nom ?] de C. Marot contre Sagon. ,Je vy n'aguerɇ un des plus beaux combatz,"H3r, H3v, H4r"
31,[1554_Tradlatfr_Grou] De voir ma fin j'ay cent foys eu envie,n° 139,De la cruauté de s'Amye.,De voir ma fin j'ay cent foys eu envie,H4r
30,[1554_Tradlatfr_Grou] L'anneau qu'amour pour moy d'elle impetra,n° 140,D'un anneau de cristal receu de sa Maistresse.,L'anneau qu'amour pour moy d'ellɇ impetra,"H4r, H4v"
