,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
15,[1530_Fleurtoutjoy_sn] 015 Helas ayez de moy mercy,n° 015,Balade.,Helas ayez de moy mercy,"C4v, C5r"
16,[1530_Fleurtoutjoy_sn] 016 Adieu Madame du temps passé,n° 016,Balade.,Adieu madame du temps passé,C5v
17,[1530_Fleurtoutjoy_sn] 017 N’est ce pas ung grant desconfort,n° 017,Balade.,N’est ce pas ung grant desconfort,"C5v, C6r, C6v"
18,[1530_Fleurtoutjoy_sn] 018 Maintenant fault que vive en languissant,n° 018,Balade.,Maintenant fault que vive en languissant,"C6v, C7r"
19,[1530_Fleurtoutjoy_sn] 019 Mon doulx amy j’ay vostre requeste,n° 019,Balade.,Mon doulx amy j’ay vostre requeste,"C7r, C7v"
20,[1530_Fleurtoutjoy_sn] 020 Amours me font le cueur tresdouloureux,n° 020,Balade.,Amours me font le cueur tresdouloureux,"C8r, C8v"
21,[1530_Fleurtoutjoy_sn] 021 Puis que fortune m’est diverse,n° 021,Balade.,Puis que fortune m’est diverse,"C8v, D1r"
22,[1530_Fleurtoutjoy_sn] 022 À vous gente pucelle et gracieuse,n° 022,Balade.,A vous gente pucelle &amp; gracieuse,"D1r, D1v"
23,[1530_Fleurtoutjoy_sn] 023 Cueur endurcy plus que marbre ou enclume,n° 023,Balade.,Cueur endurcy plus que marbre ou enclume,"D1v, D2r"
24,"[1530_Fleurtoutjoy_sn] 024 Le cueur je suys, la chose n’est doubteuse",n° 024,Balade.,"Le cueur je suys, la chose n’est doubteuse","D2r, D2v"
25,[1530_Fleurtoutjoy_sn] 025 Las et en quoy vous peult avoir forfaict,n° 025,Balade.,Las &amp; en quoy vous peult avoir forfaict,"D2v, D3r"
26,"[1530_Fleurtoutjoy_sn] 026 Cueur languoureux, bannys toy de lyesse",n° 026,Balade.,"Cueur languoureux, bannys toy de lyesse","D3r, D3v"
27,[1530_Fleurtoutjoy_sn] 027 La teneur de cent mil escutz,n° 027,Petit Dialogue.,La teneur de cent mil escutz,D4r
28,[1530_Fleurtoutjoy_sn] 028 Francoys baillart et Jehan le hourt,n° 028,Pas de titre,Francoys baillart &amp; Jehan le hourt,D4v
29,[1530_Fleurtoutjoy_sn] 029 Tresbon Amy maistre Denys,n° 029,Huytain.,Tresbon amy maistre Denys,D4v
30,[1530_Fleurtoutjoy_sn] 030 Le beau Vicaire Jehan Henry,n° 030,Huytain.,Le beau vicaire Jehan henry,"D4v, D5r"
31,[1530_Fleurtoutjoy_sn] 031 Se je n’ay du pain de chapitre,n° 031,Triolet.,Se je n’ay du pain de chapitre,D5r
32,"[1530_Fleurtoutjoy_sn] 032 Je n'en ay plus : de quoy : dor, ne dargent",n° 032,Triolet double en forme de Dialogue.,"Je n’en ay plus : de quoy : d’or, ne d’argent","D5r, D5v"
33,[1530_Fleurtoutjoy_sn] 033 De trop aymer c’est grand folie,n° 033,Triolet.,De trop aymer c’est grand folie,D5v
34,[1530_Fleurtoutjoy_sn] 034 Esperant d’avoir quelque bien,n° 034,Petit Dialogue.,Esperant d’avoir quelque bien,"D5v, D6r"
35,[1530_Fleurtoutjoy_sn] 035 Au moys de may que on saignoit la belle,n° 035,Dixain.,Au moys de May que on saignoit la Belle,D6r
36,[1530_Fleurtoutjoy_sn] 036 Toutes les nuictz que sans vous je me couche,n° 036,Rondeau.,Toutes les nuictz que sans vous je me couche,"D6r, D6v"
37,[1530_Fleurtoutjoy_sn] 037 Elle m’ayme je le scay bien,n° 037,Rondeau.,Elle m’ayme je le scay bien,D6v
38,[1530_Fleurtoutjoy_sn] 038 À mon gré j’ayme la plus belle,n° 038,Rondeau.,A mon gré j’ayme la plus belle,"D6v, D7r"
39,[1530_Fleurtoutjoy_sn] 039 Qui veult de Dame à moy changer,n° 039,Rondeau.,Qui veult de dame a moy changer,D7r
40,[1530_Fleurtoutjoy_sn] 040 Allez vous en à vostre beau loisir,n° 040,Rondeau.,Allez vous en a vostre beau loisir,"D7r, D7v"
41,"[1530_Fleurtoutjoy_sn] 041 Demourez belle, vous me ferez plaisir",n° 041,Rondeau.,"Demourez belle, vous me ferez plaisir",D7v
42,[1530_Fleurtoutjoy_sn] 042 Long temps y a qu’amour avoit prins peine,n° 042,Rondeau.,Long temps y a qu’amour avoit prins peine,"D7v, D8r"
43,[1530_Fleurtoutjoy_sn] 043 Plus chauld que feu : ne que metal en fonte,n° 043,Rondeau.,Plus chauld que feu : ne que metal en fonte,"D8r, D8v"
44,"[1530_Fleurtoutjoy_sn] 044 Le cueur, le corps, le sens, l’entendement",n° 044,Rondeau.,"Le cueur, le corps, le sens, l’entendement",D8v
45,[1530_Fleurtoutjoy_sn] 045 Pour bien aymer je ne quiers decepvoir,n° 045,Rondeau.,Pour bien aymer je ne quiers decepvoir,"D8v, E1r"
46,"[1530_Fleurtoutjoy_sn] 046 J’en ay pitié, car je voy a la face",n° 046,Rondeau.,"J’en ay pitié, car je voy a la face",E1r
47,[1530_Fleurtoutjoy_sn] 047 Auprès de moy ma Maistresse et m'Amye,n° 047,Rondeau.,Aupres de moy ma maistresse et mamye,E1v
48,[1530_Fleurtoutjoy_sn] 048 Plus je n’en veulx car raison s’y oppose,n° 048,Rondeau.,Plus je n’en veulx car raison s’y oppose,"E1v, E2r"
49,[1530_Fleurtoutjoy_sn] 049 Mon cueur attent de recepvoir la proye,n° 049,Rondeau.,Mon cueur attent de recepvoir la proye,E2r
50,[1530_Fleurtoutjoy_sn] 050 Taire ou crier tout revient à ung compte,n° 050,Rondeau.,Taire ou crier tout revient a ung compte,"E2r, E2v"
51,[1530_Fleurtoutjoy_sn] 051 Du mal que j’ay helas qui m’en croira,n° 051,Rondeau.,Du mal que j’ay helas qui m’en croira,"E2v, E3r"
52,[1530_Fleurtoutjoy_sn] 052 Pensant au bien que Madame m’a faict,n° 052,Rondeau.,Pensant au bien que madame m’a faict,E3r
53,[1530_Fleurtoutjoy_sn] 053 Une sur toutes j’ay choisie,n° 053,Rondeau.,Une sur toutes j’ay choisie,"E3r, E3v"
54,[1530_Fleurtoutjoy_sn] 054 En desirant ce que ne puis avoir,n° 054,Rondeau.,En desirant ce que ne puis avoir,E3v
55,[1530_Fleurtoutjoy_sn] 055 J’ay prins deux poulx en ma chemise,n° 055,Rondeau.,J’ay prins deux poulx en ma chemise,"E3v, E4r"
56,[1530_Fleurtoutjoy_sn] 056 Vous perdez temps de vous attendre,n° 056,Rondeau.,Vous perdez temps de vous attendre,E4r
57,[1530_Fleurtoutjoy_sn] 057 Il s’abuse bien sur mon ame,n° 057,Rondeau.,Il s’abuse bien sur mon ame,"E4r, E4v"
58,[1530_Fleurtoutjoy_sn] 058 À si grant tort vous m’avez prins en haine,n° 058,Rondeau.,A si grant tort vous m’avez prins en haine,E4v
59,[1530_Fleurtoutjoy_sn] 059 Il me suffift plus ne tiens compte,n° 059,Rondeau.,Il me suffist plus ne tiens compte,"E4v, E5r"
60,[1530_Fleurtoutjoy_sn] 060 Je n’en vidz oncques la pareille,n° 060,Rondeau.,Je n’en vidz oncques la pareille,E5r
61,[1530_Fleurtoutjoy_sn] 061 Mon cueur est vostre et si sera,n° 061,Rondeau.,Mon cueur est vostre &amp; si sera,"E5r, E5v"
62,[1530_Fleurtoutjoy_sn] 062 Je ne puis bonnement songer,n° 062,Rondeau.,Je ne puis bonnement songer,E5v
63,[1530_Fleurtoutjoy_sn] 063 Penser en vous ne m’est point ennuyeux,n° 063,Rondeau.,Penser en vous ne m’est point ennuyeux,E6r
64,[1530_Fleurtoutjoy_sn] 064 En escoutant les chantz melodieux,n° 064,Rondeau.,En escoutant les chantz melodieux,"E6r, E6v"
65,[1530_Fleurtoutjoy_sn] 065 Qu’en a affaire malle bouche,n° 065,Rondeau.,Qu’en a affaire malle bouche,E6v
66,[1530_Fleurtoutjoy_sn] 066 Par ung cas de nouvellete,n° 066,Rondeau.,Par ung cas de nouvelleté,"E6v, E7r"
67,"[1530_Fleurtoutjoy_sn] 067 C'est ung mignon, voire gorrier",n° 067,Rondeau.,"Cest ung mignon, voire gorrier",E7r
68,[1530_Fleurtoutjoy_sn] 068 Ceste belle petite bouche,n° 068,Rondeau.,Ceste belle petite bouche,"E7r, E7v"
69,[1530_Fleurtoutjoy_sn] 069 Tant suys frappé de vostre amour Madame,n° 069,Rondeau.,Tant suys frappé de vostre amour madame,E7v
70,[1530_Fleurtoutjoy_sn] 070 Incessamment suys triste et douloureux,n° 070,Rondeau.,Incessamment suys triste &amp; douloureux,E8r
71,[1530_Fleurtoutjoy_sn] 071 Dame Fortune m’est fort adverse,n° 071,Rondeau.,Dame fortune m’est fort adverse,"E8r, E8v"
72,[1530_Fleurtoutjoy_sn] 072 De gent boucquet est cause du martyre,n° 072,Rondeau.,De gent boucquet est cause du martyre,E8v
73,[1530_Fleurtoutjoy_sn] 073 Puis qu’ainsi est que je n’ay la puissance,n° 073,Rondeau.,Puis qu’ainsi est que je n’ay la puissance,"E8v, F1r"
74,"[1530_Fleurtoutjoy_sn] 074 Ha À quel torment, quel peine, quel anguoisse",n° 074,Rondeau.,"Ha a quel torment, quel peine, quel anguoisse",F1r
75,[1530_Fleurtoutjoy_sn] 075 Dardante amour suys contrainct de vous dire,n° 075,Rondeau.,Dardante amour suys contrainct de vous dire,F1v
76,"[1530_Fleurtoutjoy_sn] 076 Celle par qui, y son nom commence",n° 076,Rondeau.,"Celle par qui, y son nom commence","F1v, F2r"
77,[1530_Fleurtoutjoy_sn] 077 À vous servir ma Dame sans discorde,n° 077,Rondeau.,A vous servir ma dame sans discorde,F2r
78,[1530_Fleurtoutjoy_sn] 078 Jusques à la mort je t’avoys reclamée,n° 078,Rondeau.,Jusques a la mort je t’avoys reclamée,"F2r, F2v"
79,[1530_Fleurtoutjoy_sn] 079 Plus chauld que feu je languis par tes yeux,n° 079,Rondeau.,Plus chauld que feu je languis par tes yeux,"F2v, F3r"
80,[1530_Fleurtoutjoy_sn] 080 Entre voz mains à jamais demourra,n° 080,Rondeau.,Entre voz mains a jamais demourra,F3r
81,[1530_Fleurtoutjoy_sn] 081 Au lieu du may je veulx planter et mettre,n° 081,Rondeau.,Au lieu du May je veulx planter &amp; mettre,"F3r, F3v"
82,[1530_Fleurtoutjoy_sn] 082 Le corps s’en va et le cueur vous demeure,n° 082,Rondeau.,Le corps s’en va &amp; le cueur vous demeure,F3v
83,[1530_Fleurtoutjoy_sn] 083 Puis qu’il fault que je le vous die,n° 083,Rondeau.,Puis qu’il fault que je le vous die,"F3v, F4r"
84,[1530_Fleurtoutjoy_sn] 084 Je l’ayme bien et l’aymeray,n° 084,Rondeau.,Je l’ayme bien &amp; l’aymeray,F4r
85,"[1530_Fleurtoutjoy_sn] 085 Les yeulx ouvers, je ne voy goutte",n° 085,Rondeau.,"Les yeulx ouvers, je ne voy goutte",F4v
86,[1530_Fleurtoutjoy_sn] 086 Quelque maniere que je face,n° 086,Rondeau.,Quelque maniere que je face,"F4v, F5r"
87,[1530_Fleurtoutjoy_sn] 087 Neuf ou dix moys c’est assez attendu,n° 087,Rondeau.,Neuf ou dix moys c’est assez attendu,F5r
88,[1530_Fleurtoutjoy_sn] 088 Gardez le gouffre perilleux,n° 088,Rondeau.,Gardez le gouffre perilleux,"F5r, F5v"
89,"[1530_Fleurtoutjoy_sn] 089 J’en ay assez, sonnez à la retraicte",n° 089,Rondeau.,"J’en ay assez, sonnez a la retraicte",F5v
90,[1530_Fleurtoutjoy_sn] 090 Vous seullement avez sur moy puissance,n° 090,Rondeau.,Vous seullement avez sur moy puissance,"F5v, F6r"
91,[1530_Fleurtoutjoy_sn] 091 Ceste fillette à qui le tetin point,n° 091,Rondeau.,Ceste fillette a qui le tetin point,F6r
92,[1530_Fleurtoutjoy_sn] 092 Helas frappez tout bellement,n° 092,Rondeau.,Helas frappez tout bellement,F6v
93,[1530_Fleurtoutjoy_sn] 093 Celuy qui vous regardera,n° 093,Rondeau.,Celuy qui vous regardera,F6v
94,[1530_Fleurtoutjoy_sn] 094 L’Homme banny de sa plaisance,n° 094,Rondeau.,L’homme banny de sa plaisance,F7r
95,[1530_Fleurtoutjoy_sn] 095 Ma bonne Amye unique et singuliere,n° 095,Rondeau.,Ma bonne amye unique &amp; singuliere,"F7r, F7v"
96,[1530_Fleurtoutjoy_sn] 096 Monsieur : si vous estiez assure de la prudence,n° 096,Epistre.,Monsieur : si vous estiez assuré de la prudence,F7v
97,[1530_Fleurtoutjoy_sn] 097 Cy gist ung corps dont l’esperit fut pare,n° 097,Epitaphe.,Cy gist ung corps dont l’esperit fut paré,"F7v, F8r"
98,[1530_Fleurtoutjoy_sn] 098 Cy gist le corps d’ung qui fut languissant,n° 098,Aultre Epitaphe.,Cy gist le corps d’ung qui fut languissant,F8r
99,[1530_Fleurtoutjoy_sn] 099 Qui de moy se trompe,n° 099,Pas de titre,Qui de moy se trompe,F8r
100,[1530_Fleurtoutjoy_sn] 100 Qu’en dictes vous : mon vouloir est,n° 100,Rondeau.,Qu’en dictes vous : mon vouloir est,F8v
101,[1530_Fleurtoutjoy_sn] 101 Si pensees estoyent visibles,n° 101,Rondeau.,Si pensées estoyent visibles,F8v
102,[1530_Fleurtoutjoy_sn] 102 Argent prend villes et chasteaulx,n° 102,Balade.,Argent prend villes &amp; chasteaulx,"G1r, G1v"
103,[1530_Fleurtoutjoy_sn] 103 Quelque poure Homme que je soys,n° 103,Rondeau.,Quelque povre homme que je soys,G1v
104,[1530_Fleurtoutjoy_sn] 104 Au plus offrant Madame est mise,n° 104,Rondeau.,Au plus offrant madame est mise,"G1v, G2r"
105,[1530_Fleurtoutjoy_sn] 105 Tant que loyalle me serez,n° 105,Rondeau.,Tant que loyalle me serez,G2r
106,[1530_Fleurtoutjoy_sn] 106 De moy n’est plus : las je resemble,n° 106,Rondeau.,De moy n’est plus : las je resemble,"G2r, G2v"
107,[1530_Fleurtoutjoy_sn] 107 Quelque semblant las que je face,n° 107,Rondeau.,Quelque semblant las que je face,G2v
108,[1530_Fleurtoutjoy_sn] 108 Je ne porteray jamais gris,n° 108,Rondeau.,Je ne porteray jamais gris,"G2v, G3r"
109,[1530_Fleurtoutjoy_sn] 109 Sainct Gabriel je vous appelle,n° 109,Rondeau.,Sainct Gabriel je vous appelle,G3r
110,[1530_Fleurtoutjoy_sn] 110 Le voulez vous bien,n° 110,Rondeau.,Le voulez vous bien,G3v
111,[1530_Fleurtoutjoy_sn] 111 Sur ung lict mollet bas et quoy,n° 111,Rondeau.,Sur ung lict mollet bas &amp; quoy,G3v
112,[1530_Fleurtoutjoy_sn] 112 Apres quinze ans viennent les vingt et trente,n° 112,Rondeau.,Apres quinze ans viennent les vingt &amp; trente,G4r
113,[1530_Fleurtoutjoy_sn] 113 Et on vous aymera sera,n° 113,Rondeau.,Et on vous aymera sera,"G4r, G4v"
114,[1530_Fleurtoutjoy_sn] 114 Or mauldict soit il qui en ment,n° 114,Rondeau.,Or mauldict soit il qui en ment,G4v
115,[1530_Fleurtoutjoy_sn] 115 Levez ces couvrechefz plus hault,n° 115,Rondeau.,Levez ces couvrechefz plus hault,"G4v, G5r"
116,[1530_Fleurtoutjoy_sn] 116 Autant en emporte une mousche,n° 116,Rondeau.,Autant en emporte une mousche,G5r
117,[1530_Fleurtoutjoy_sn] 117 Je quitte l’art d’amoureuses brunettes,n° 117,Rondeau.,Je quitte l’art d’amoureuses brunettes,"G5r, G5v"
118,[1530_Fleurtoutjoy_sn] 118 Chantons trestous Gaudeamus,n° 118,Rondeau.,Chantons trestous Gaudeamus,G5v
119,"[1530_Fleurtoutjoy_sn] 119 Cupido, qui y fourniroit",n° 119,Rondeau.,"Cupido, qui y fourniroit",G6r
120,"[1530_Fleurtoutjoy_sn] 120 Adieu m'Amye, Dame vous tien",n° 120,Rondeau.,"Adieu mamye, dame vous tien","G6r, G6v"
121,[1530_Fleurtoutjoy_sn] 121 Bonnes gens venez au Salue,n° 121,Rondeau de Devotion.,Bonnes gens venez au Salue,G6v
122,[1530_Fleurtoutjoy_sn] 122 De ma Maistresse suys mal dicté,n° 122,Dictez pour mettre es heures de quelque Dame.,De ma maistresse suys mal dicté,G6v
123,[1530_Fleurtoutjoy_sn] 123 En revenant du boys lautryer,n° 123,Joyeuseté.,En revenant du boys lautryer,G7r
124,[1530_Fleurtoutjoy_sn] 124 Entendez vous mes bergerettes,n° 124,Aultre joyeuseté.,Entendez vous mes bergerettes,G7r
125,[1530_Fleurtoutjoy_sn] 125 Franc messager rossignollet,n° 125,Aultre.,Franc messager rossignollet,"G7r, G7v"
126,[1530_Fleurtoutjoy_sn] 126 Frette Dent Pire,n° 126,Rebus.,Frette Dent Pire,G7v
